,Transcript_Annotation,Transcript_Clusters
0,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010pwa.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010pwa.1.csv
1,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002sbj.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002sbj.3.csv
2,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010iub.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010iub.3.csv
3,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001sut.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc001sut.4.csv
4,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ugm.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ugm.1.csv
5,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lfa.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc011lfa.2.csv
6,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010odw.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010odw.2.csv
7,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002ikd.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002ikd.3.csv
8,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002xun.4annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002xun.4.csv
9,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rnl.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rnl.3.csv
10,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010qet.2annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010qet.2.csv
11,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ksi.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc010ksi.1.csv
12,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jhp.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc003jhp.1.csv
13,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rnj.3annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc002rnj.3.csv
14,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031sil.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031sil.1.csv
15,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031rct.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc031rct.1.csv
16,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021xqo.1annotations.csv,./MiSeqSFPQc.csv_MiSeqNONOc.csv_HuRc_conversioncTranscripts/uc021xqo.1.csv
