,transcript,MiSeqSFPQc.csv,MiSeqNONOc.csv,HuRc_conversionc,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
0,uc010pwa.1,['G148.1' 'G153.1'],,,uc010pwa.1,chr1,+,230202955,230417875,230203027,230415204,16,"230202955,230313963,230338882,230371759,230372098,230372405,230379051,230381808,230384929,230386202,230390963,230398318,230398667,230400986,230410190,230415048,","230203153,230314057,230339036,230371858,230372166,230372471,230379173,230381896,230385017,230386306,230391090,230398411,230398751,230401113,230410310,230417875,",Q10471,uc010pwa.1,3748,uc010pwa.1,NM_004481,Q10471,GALT2_HUMAN,GALNT2,NM_004481,NP_004472,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
1,uc002sbj.3,['G1913.1' 'G1914.1'],['G1510.1'],,uc002sbj.3,chr2,-,61705068,61765418,61705954,61761032,25,"61705068,61708319,61709514,61710091,61711071,61712902,61715299,61715722,61717776,61719169,61719459,61719701,61720049,61721028,61722589,61724013,61725807,61725999,61726847,61729130,61729383,61749745,61753554,61760906,61764696,","61706101,61708416,61709674,61710226,61711240,61713097,61715406,61715906,61717911,61719333,61719616,61719883,61720188,61721226,61722748,61724142,61725927,61726048,61727029,61729175,61729445,61749818,61753656,61761038,61765418,",O14980,uc002sbj.3,43333,uc002sbj.3,NM_003400,O14980,XPO1_HUMAN,XPO1,NM_003400,NP_003391,"Homo sapiens exportin 1 (CRM1 homolog, yeast) (XPO1), mRNA.",,
2,uc010iub.3,['G2627.1' 'G2627.2' 'G2628.1'],,,uc010iub.3,chr5,+,21459588,21497305,21459668,21497231,6,"21459588,21459786,21461891,21491429,21495206,21497130,","21459693,21459852,21461975,21491617,21495291,21497305,",B4DZD7,uc010iub.3,57066,uc010iub.3,NR_027028,B4DZD7,B4DZD7_HUMAN,GUSBP1,NR_027028,,"Homo sapiens glucuronidase, beta pseudogene 1 (GUSBP1), transcript variant 3, non-coding RNA.",,
3,uc001sut.4,['G836.1'],,,uc001sut.4,chr12,+,69633316,69668138,69633426,69656339,10,"69633316,69644908,69646830,69650476,69651511,69652369,69653207,69653823,69656152,69663291,","69633486,69645118,69646934,69650622,69651685,69652874,69653323,69653977,69656342,69668138,",Q16630,uc001sut.4,16708,uc001sut.4,NM_007007,Q16630,CPSF6_HUMAN,CPSF6,NM_007007,NP_008938,"Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA.",,
4,uc010ugm.1,['G1179.1'],,,uc010ugm.1,chr15,+,57210322,57579190,57210410,57578833,19,"57210322,57212099,57213223,57355947,57383986,57458599,57484355,57489970,57523349,57524488,57524909,57526240,57535669,57543547,57545459,57554291,57555309,57565227,57578827,","57210554,57212186,57213296,57356021,57384089,57458664,57484491,57490023,57523455,57524628,57525054,57526305,57535748,57543621,57545666,57554406,57555472,57565420,57579190,",B4DZH5,uc010ugm.1,24039,uc010ugm.1,AK302923,B4DZH5,B4DZH5_HUMAN,TCF12,NM_207038,NP_996921,"Homo sapiens transcription factor 12 (TCF12), transcript variant 4, mRNA.",,
5,uc011lfa.2,['G3412.1' 'G3412.2'],['G2769.1'],['G5166.1'],uc011lfa.2,chr8,-,70584567,70745404,70584567,70584567,5,"70584567,70588843,70591612,70594418,70744001,","70585561,70588908,70591854,70594578,70745404,",uc011lfa.2,,73647,uc011lfa.2,BC144618,,,SLCO5A1,,,"Homo sapiens solute carrier organic anion transporter family, member 5A1 (SLCO5A1), transcript variant 3, mRNA.",,
6,uc010odw.2,['G194.1' 'G195.1'],,['G277.1'],uc010odw.2,chr1,-,23636275,23670853,23636946,23667501,10,"23636275,23637693,23640045,23644975,23648020,23650048,23664246,23664982,23667344,23670703,","23637559,23637815,23640195,23645181,23648156,23650225,23664354,23665101,23667510,23670853,",Q2L7G6,uc010odw.2,4541,uc010odw.2,AK297382,Q2L7G6,Q2L7G6_HUMAN,HNRNPR,NM_005826,NP_005817,"Homo sapiens heterogeneous nuclear ribonucleoprotein R (HNRNPR), transcript variant 2, mRNA.",,
7,uc002ikd.3,['G1512.1' 'G1513.1'],['G1217.1' 'G1217.2'],,uc002ikd.3,chr17,-,44107281,44270272,44108841,44249509,15,"44107281,44109412,44110445,44110768,44111526,44115903,44116392,44117067,44127898,44143902,44144914,44159806,44171925,44248220,44270188,","44109069,44109665,44110558,44110826,44111651,44116052,44116581,44117250,44128070,44144098,44145033,44159908,44172067,44249598,44270272,",NP_056258,uc002ikd.3,33396,uc002ikd.3,NM_015443,Q7Z3B3,KANL1_HUMAN,KANSL1,NM_015443,NP_056258,"Homo sapiens KAT8 regulatory NSL complex subunit 1 (KANSL1), transcript variant 2, mRNA.",,
8,uc002xun.4,['G2035.1'],['G1619.1' 'G1619.2'],,uc002xun.4,chr20,+,47894714,47905795,47894714,47894714,3,"47894714,47895640,47905581,","47895253,47895745,47905795,",uc002xun.4,,45892,uc002xun.4,NR_003606,,,ZFAS1,NR_003606,,"Homo sapiens ZNFX1 antisense RNA 1 (ZFAS1), transcript variant 3, non-coding RNA.",,
9,uc002rnl.3,['G1746.1'],,,uc002rnl.3,chr2,+,30670136,30867091,30748456,30863485,6,"30670136,30748452,30755981,30785011,30790925,30862982,","30670249,30748621,30756180,30785158,30791042,30867091,",NP_001002257,uc002rnl.3,40516,uc002rnl.3,NM_001002257,Q6UWP7,LCLT1_HUMAN,LCLAT1,NM_001002257,NP_001002257,"Homo sapiens lysocardiolipin acyltransferase 1 (LCLAT1), transcript variant 2, mRNA.",,
