,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,2304064,965.0,2303099,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2304064,,2304064,,Splice Junction ,1
1,Intron in a ncRNA,2305584,1520.0,2304064,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2305585,,2305584,,Splice Junction ,2
2,Exon in a ncRNA,2305727,142.0,2305585,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2305727,,2305727,,Splice Junction ,3
3,Intron in a ncRNA,2312277,6550.0,2305727,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2312278,,2312277,,Splice Junction ,4
4,Exon in a ncRNA,2312432,154.0,2312278,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2312432,,2312432,,Splice Junction ,5
5,Intron in a ncRNA,2312739,307.0,2312432,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2312740,,2312739,,Splice Junction ,6
6,Exon in a ncRNA,2312843,103.0,2312740,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2312843,,2312843,,Splice Junction ,7
7,Intron in a ncRNA,2313095,252.0,2312843,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2313096,,2313095,,Splice Junction ,8
8,Exon in a ncRNA,2313264,168.0,2313096,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2313264,,2313264,,Splice Junction ,9
9,Intron in a ncRNA,2314194,930.0,2313264,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2314195,,2314194,,Splice Junction ,10
10,Exon in a ncRNA,2314332,137.0,2314195,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2314332,,2314332,,Splice Junction ,11
11,Intron in a ncRNA,2318054,3722.0,2314332,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2318055,,2318054,,Splice Junction ,12
12,Exon in a ncRNA,2318413,358.0,2318055,7.0,Exon,7
