,dataset,transcript,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
0,MiSeqNONOc.csv,uc002xvu.1,46917,uc002xvu.1,NM_181442,Q9H2P0,ADNP_HUMAN,ADNP,NM_181442,NP_852107,"Homo sapiens activity-dependent neuroprotector homeobox (ADNP), transcript variant 2, mRNA.",,
1,MiSeqNONOc.csv,uc002fnc.2,29773,uc002fnc.2,NM_001256183,Q6UB99,ANR11_HUMAN,ANKRD11,NM_001256183,NP_037407,"Homo sapiens ankyrin repeat domain 11 (ANKRD11), transcript variant 3, mRNA.",,
2,MiSeqNONOc.csv,uc010swq.3,16985,uc010swq.3,NM_001261445,Q16881,TRXR1_HUMAN,TXNRD1,NM_001261445,,"Homo sapiens thioredoxin reductase 1 (TXNRD1), transcript variant 6, mRNA.",,
3,MiSeqNONOc.csv,uc001oiw.2,12293,uc001oiw.2,NM_002896,Q9BWF3,RBM4_HUMAN,RBM4,NM_002896,NP_002887,"Homo sapiens RNA binding motif protein 4 (RBM4), transcript variant 1, mRNA.",,
4,MiSeqNONOc.csv,uc010rog.2,12200,uc010rog.2,NR_030343,,,NEAT1,NR_030343,,"Homo sapiens nuclear paraspeckle assembly transcript 1 (non-protein coding) (NEAT1), non-coding RNA.",,
5,MiSeqNONOc.csv,uc022bqs.1,77546,uc022bqs.1,JA760602,,,JA760602,,,"Homo sapiens piRNA piR-34804, complete sequence.",,
6,MiSeqNONOc.csv,uc021zgs.1,62012,uc021zgs.1,NM_001242767,B7ZM99,B7ZM99_HUMAN,MTHFD1L,NM_001242767,NP_001229696,"Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like (MTHFD1L), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",,
7,MiSeqNONOc.csv,uc010gno.1,47346,uc010gno.1,AB015284,,,DYRK1A,,,"Homo sapiens dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A (DYRK1A), transcript variant 3, mRNA.",,
8,MiSeqNONOc.csv,uc001zev.3,23630,uc001zev.3,NR_038253,,,LOC100288637,NR_038253,,"Homo sapiens OTU domain containing 7A pseudogene (LOC100288637), transcript variant 1, non-coding RNA.",,
9,MiSeqNONOc.csv,uc001ajf.2,132,uc001ajf.2,AF091071,Q5T091,Q5T091_HUMAN,RER1,,,"Homo sapiens RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae) (RER1), mRNA.",,
