,dataset,transcript,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
0,MiSeqSFPQc.csv,uc010pwa.1,3748,uc010pwa.1,NM_004481,Q10471,GALT2_HUMAN,GALNT2,NM_004481,NP_004472,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
1,MiSeqSFPQc.csv,uc002sbj.3,43333,uc002sbj.3,NM_003400,O14980,XPO1_HUMAN,XPO1,NM_003400,NP_003391,"Homo sapiens exportin 1 (CRM1 homolog, yeast) (XPO1), mRNA.",,
2,MiSeqNONOc.csv,uc002sbj.3,43333,uc002sbj.3,NM_003400,O14980,XPO1_HUMAN,XPO1,NM_003400,NP_003391,"Homo sapiens exportin 1 (CRM1 homolog, yeast) (XPO1), mRNA.",,
3,MiSeqSFPQc.csv,uc010iub.3,57066,uc010iub.3,NR_027028,B4DZD7,B4DZD7_HUMAN,GUSBP1,NR_027028,,"Homo sapiens glucuronidase, beta pseudogene 1 (GUSBP1), transcript variant 3, non-coding RNA.",,
4,MiSeqSFPQc.csv,uc001sut.4,16708,uc001sut.4,NM_007007,Q16630,CPSF6_HUMAN,CPSF6,NM_007007,NP_008938,"Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa (CPSF6), mRNA.",,
5,MiSeqSFPQc.csv,uc010ugm.1,24039,uc010ugm.1,AK302923,B4DZH5,B4DZH5_HUMAN,TCF12,NM_207038,NP_996921,"Homo sapiens transcription factor 12 (TCF12), transcript variant 4, mRNA.",,
6,MiSeqSFPQc.csv,uc011lfa.2,73647,uc011lfa.2,BC144618,,,SLCO5A1,,,"Homo sapiens solute carrier organic anion transporter family, member 5A1 (SLCO5A1), transcript variant 3, mRNA.",,
7,MiSeqNONOc.csv,uc011lfa.2,73647,uc011lfa.2,BC144618,,,SLCO5A1,,,"Homo sapiens solute carrier organic anion transporter family, member 5A1 (SLCO5A1), transcript variant 3, mRNA.",,
8,MiSeqSFPQc.csv,uc010odw.2,4541,uc010odw.2,AK297382,Q2L7G6,Q2L7G6_HUMAN,HNRNPR,NM_005826,NP_005817,"Homo sapiens heterogeneous nuclear ribonucleoprotein R (HNRNPR), transcript variant 2, mRNA.",,
9,MiSeqSFPQc.csv,uc002ikd.3,33396,uc002ikd.3,NM_015443,Q7Z3B3,KANL1_HUMAN,KANSL1,NM_015443,NP_056258,"Homo sapiens KAT8 regulatory NSL complex subunit 1 (KANSL1), transcript variant 2, mRNA.",,
