,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,9188,G572.1,9159,62,IonXpress_NONO_c
1,21055,G576.1,21037,47,IonXpress_NONO_c
2,33773,G584.1,33754,45,IonXpress_NONO_c
3,42553,G589.1,42528,82,IonXpress_NONO_c
4,42997,G590.1,42976,50,IonXpress_NONO_c
5,50876,G595.1,50857,75,IonXpress_NONO_c
6,53897,G597.1,53879,36,IonXpress_NONO_c
7,62993,G600.1,62968,139,IonXpress_NONO_c
8,64867,G603.1,64843,125,IonXpress_NONO_c
9,67712,G604.1,67704,42,IonXpress_NONO_c
10,67731,G604.2,67715,37,IonXpress_NONO_c
11,71622,G607.1,71593,67,IonXpress_NONO_c
12,101498,G614.1,101471,61,IonXpress_NONO_c
13,112304,G615.1,112281,75,IonXpress_NONO_c
14,126180,G618.1,126154,70,IonXpress_NONO_c
15,182310,G621.1,182269,4281,IonXpress_NONO_c
16,182225,G681.1,182205,350,IonXpress_SFPQt1
17,182261,G681.2,182241,278,IonXpress_SFPQt1
18,182308,G681.3,182268,666,IonXpress_SFPQt1
