,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,86386909,185.0,86386724,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86386909,,86386909,,Splice Junction ,1
1,Intron in a ncRNA,86387140,231.0,86386909,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86387141,,86387140,,Splice Junction ,2
2,Exon in a ncRNA,86387210,69.0,86387141,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86387210,,86387210,,Splice Junction ,3
3,Intron in a ncRNA,86387511,301.0,86387210,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86387512,,86387511,,Splice Junction ,4
4,Exon in a ncRNA,86387593,81.0,86387512,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86387593,,86387593,,Splice Junction ,5
5,Intron in a ncRNA,86387670,77.0,86387593,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86387671,,86387670,,Splice Junction ,6
6,Exon in a ncRNA,86387750,79.0,86387671,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86387750,,86387750,,Splice Junction ,7
7,Intron in a ncRNA,86387852,102.0,86387750,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86387853,,86387852,,Splice Junction ,8
8,Exon in a ncRNA,86387906,53.0,86387853,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,86387906,,86387906,,Splice Junction ,9
9,Intron in a ncRNA,86388410,504.0,86387906,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,86388411,,86388410,,Splice Junction ,10
10,Exon in a ncRNA,86388451,40.0,86388411,6.0,Exon,6
