,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,2670376,284.0,2670092,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2670376,,2670376,,Splice Junction ,1
1,Intron in a ncRNA,2670937,561.0,2670376,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2670938,,2670937,,Splice Junction ,2
2,Exon in a ncRNA,2671041,103.0,2670938,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2671041,,2671041,,Splice Junction ,3
3,Intron in a ncRNA,2688589,17548.0,2671041,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2688590,,2688589,,Splice Junction ,4
4,Exon in a ncRNA,2688632,42.0,2688590,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2688632,,2688632,,Splice Junction ,5
5,Intron in a ncRNA,2692755,4123.0,2688632,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2692756,,2692755,,Splice Junction ,6
6,Exon in a ncRNA,2692780,24.0,2692756,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2692780,,2692780,,Splice Junction ,7
7,Intron in a ncRNA,2700105,7325.0,2692780,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2700106,,2700105,,Splice Junction ,8
8,Exon in a ncRNA,2700169,63.0,2700106,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,2700169,,2700169,,Splice Junction ,9
9,Intron in a ncRNA,2707683,7514.0,2700169,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,2707684,,2707683,,Splice Junction ,10
10,Exon in a ncRNA,2707747,63.0,2707684,6.0,Exon,6
