,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,83816000,1396.0,83814604,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,83816000,,83816000,,Splice Junction ,1
1,Intron in a ncRNA,83816843,843.0,83816000,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,83816844,,83816843,,Splice Junction ,2
2,Exon in a ncRNA,83816927,83.0,83816844,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,83816927,,83816927,,Splice Junction ,3
3,Intron in a ncRNA,83821228,4301.0,83816927,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,83821229,,83821228,,Splice Junction ,4
4,Exon in a ncRNA,83821376,147.0,83821229,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,83821376,,83821376,,Splice Junction ,5
5,Intron in a ncRNA,83821485,109.0,83821376,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,83821486,,83821485,,Splice Junction ,6
6,Exon in a ncRNA,83822069,583.0,83821486,4.0,Exon,4
