,transcript,IonXpress_NONO_c,IonXpress_SFPQt1,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
0,uc001oyt.3,['G486.1' 'G486.2' 'G486.3'],['G543.1'],uc001oyt.3,chr11,-,77589765,77705717,77589765,77589765,24,"77589765,77594877,77602364,77602726,77605335,77612466,77614585,77618762,77622015,77629076,77629866,77632385,77633401,77635795,77639387,77649696,77652225,77666987,77669791,77671386,77671998,77692504,77702153,77705635,","77590173,77594998,77602508,77602886,77605395,77612597,77614666,77618856,77622198,77629310,77630024,77632519,77633517,77635938,77639593,77649871,77652297,77667108,77669880,77671437,77672184,77692622,77702345,77705717,",uc001oyt.3,,14822,uc001oyt.3,BC015664,,,INTS4,,,"Homo sapiens integrator complex subunit 4 (INTS4), mRNA.",,
1,uc010cto.3,['G1077.1'],['G1246.1'],uc010cto.3,chr17,+,33475282,33516364,33475282,33513578,17,"33475282,33475991,33477066,33479911,33481592,33482314,33486393,33491013,33495079,33498340,33501260,33502986,33504035,33504513,33507577,33510445,33513317,","33475450,33476028,33477242,33480001,33481760,33482483,33486564,33491185,33495380,33498481,33501388,33503053,33504149,33504629,33507695,33510601,33516364,",Q8IWX7-2,uc010cto.3,30620,uc010cto.3,BC101062,Q8IWX7-2,Q8IWX7-2,UNC45B,NM_001267052,NP_001253981,"Homo sapiens unc-45 homolog B (C. elegans) (UNC45B), transcript variant 3, mRNA.",,
2,uc010mlt.3,['G2376.1'],,uc010mlt.3,chr9,+,37120601,37358145,37126332,37357265,9,"37120601,37126308,37302184,37304184,37305540,37327795,37349353,37354706,37356831,","37120773,37126939,37302228,37304310,37305711,37327831,37349449,37354821,37358145,",Q8N3Z6,uc010mlt.3,74694,uc010mlt.3,AK315128,Q8N3Z6,ZCHC7_HUMAN,ZCCHC7,NM_032226,NP_115602,"Homo sapiens zinc finger, CCHC domain containing 7 (ZCCHC7), mRNA.",,
3,uc010pwa.1,['G94.1'],,uc010pwa.1,chr1,+,230202955,230417875,230203027,230415204,16,"230202955,230313963,230338882,230371759,230372098,230372405,230379051,230381808,230384929,230386202,230390963,230398318,230398667,230400986,230410190,230415048,","230203153,230314057,230339036,230371858,230372166,230372471,230379173,230381896,230385017,230386306,230391090,230398411,230398751,230401113,230410310,230417875,",Q10471,uc010pwa.1,3748,uc010pwa.1,NM_004481,Q10471,GALT2_HUMAN,GALNT2,NM_004481,NP_004472,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
4,uc001jol.1,['G248.1'],['G347.1'],uc001jol.1,chr10,+,70480970,70531202,70480970,70480970,17,"70480970,70482211,70496632,70497601,70500385,70502132,70506917,70507130,70508892,70509280,70513608,70514470,70515126,70517050,70520763,70525644,70530962,","70481039,70482334,70496805,70497646,70500418,70502326,70507032,70507323,70509022,70509442,70513834,70514584,70515293,70517134,70520949,70525836,70531202,",uc001jol.1,,8366,uc001jol.1,BC058846,,,CCAR1,,,"Homo sapiens cell division cycle and apoptosis regulator 1 (CCAR1), mRNA.",,
5,uc002gqc.3,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc002gqc.3,chr17,+,16342300,16345340,16342455,16344394,5,"16342300,16342973,16343498,16344387,16344681,","16342728,16343017,16343567,16344444,16345340,",Q8N1F1,uc002gqc.3,30246,uc002gqc.3,NR_027667,Q8N1F1,C1AS1_HUMAN,C17orf76-AS1,NR_027667,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 1, non-coding RNA.",,
6,uc010rog.2,"['G376.1' 'G379.1' 'G380.1' 'G381.1' 'G383.1' 'G383.2' 'G383.3' 'G385.1'
 'G385.2' 'G385.3' 'G387.1' 'G387.2' 'G387.3' 'G389.1' 'G392.1' 'G394.1'
 'G395.1' 'G395.2' 'G395.3' 'G397.1' 'G397.2' 'G397.3' 'G398.1' 'G400.1'
 'G401.1' 'G402.1' 'G403.1' 'G405.1' 'G405.2' 'G406.1' 'G406.2' 'G407.1'
 'G407.2' 'G407.3' 'G407.4' 'G408.1' 'G410.1' 'G411.1' 'G412.1' 'G413.1'
 'G413.2' 'G414.1' 'G414.2' 'G414.3' 'G415.1' 'G420.1' 'G422.1' 'G423.1'
 'G423.2' 'G423.3' 'G423.4' 'G430.1' 'G435.1' 'G435.2' 'G437.1' 'G438.1'
 'G438.2' 'G438.3' 'G439.1' 'G442.1' 'G446.1']",['G485.1'],uc010rog.2,chr11,+,65190268,65212028,65190268,65190268,1,"65190268,","65212028,",uc010rog.2,,12200,uc010rog.2,NR_030343,,,NEAT1,NR_030343,,"Homo sapiens nuclear paraspeckle assembly transcript 1 (non-protein coding) (NEAT1), non-coding RNA.",,
7,uc010vwg.2,['G1013.1' 'G1013.2'],['G1164.1' 'G1165.1'],uc010vwg.2,chr17,+,16342300,16345340,16342300,16342300,6,"16342300,16342640,16342841,16343498,16344387,16344681,","16342374,16342728,16343017,16343567,16344444,16345340,",uc010vwg.2,,30225,uc010vwg.2,NR_027163,,,C17orf76-AS1,NR_027163,,"Homo sapiens C17orf76 antisense RNA 1 (C17orf76-AS1), transcript variant 7, non-coding RNA.",,
8,uc022bqs.1,['G2469.1' 'G2475.1'],['G2838.1' 'G2847.1' 'G2849.1' 'G2853.1' 'G2857.1'],uc022bqs.1,chrM,-,7586,15888,7586,7586,2,"7586,15503,","7982,15888,",uc022bqs.1,,77546,uc022bqs.1,JA760602,,,JA760602,,,"Homo sapiens piRNA piR-34804, complete sequence.",,
9,uc009xpx.1,['G248.1'],['G347.1'],uc009xpx.1,chr10,+,70480970,70531202,70482261,70531202,16,"70480970,70482211,70496632,70502132,70506917,70507130,70508892,70509280,70513608,70514470,70515126,70516029,70517050,70520763,70525644,70530962,","70481039,70482334,70496805,70502326,70507032,70507323,70509022,70509442,70513834,70514584,70515293,70516240,70517134,70520949,70525836,70531202,",Q8IX12,uc009xpx.1,8369,uc009xpx.1,AK307671,Q8IX12,CCAR1_HUMAN,CCAR1,NM_018237,NP_060707,"Homo sapiens cell division cycle and apoptosis regulator 1 (CCAR1), mRNA.",,
