,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,37,G2455.2,11,127,IonXpress_NONO_c
1,184,G2455.3,145,95,IonXpress_NONO_c
2,413,G2455.4,386,67,IonXpress_NONO_c
3,575,G2455.5,537,149,IonXpress_NONO_c
4,790,G2455.6,756,86,IonXpress_NONO_c
5,899,G2455.7,857,136,IonXpress_NONO_c
6,1116,G2456.1,1068,143,IonXpress_NONO_c
7,1168,G2456.2,1140,949,IonXpress_NONO_c
8,1240,G2456.3,1215,59,IonXpress_NONO_c
9,1270,G2456.4,1247,116,IonXpress_NONO_c
10,1342,G2456.5,1315,69,IonXpress_NONO_c
11,30,G2825.8,-45,295,IonXpress_SFPQt1
12,479,G2825.9,446,252,IonXpress_SFPQt1
13,1117,G2825.10,1022,775,IonXpress_SFPQt1
14,1168,G2825.11,1128,250,IonXpress_SFPQt1
15,1233,G2825.12,1200,107,IonXpress_SFPQt1
16,1353,G2825.13,1312,207,IonXpress_SFPQt1
17,2193,G2826.1,2146,78,IonXpress_SFPQt1
