,count,feature
0,1,Exon from 3'-UTR to 3'-UTR
1,146,Exon in a ncRNA
2,110,Intron from Coding_Region to Coding_Region
3,1,Translation_Start
4,4,Exon from 5'-UTR to Coding_Region
5,1,Splice Junction Intron in a ncRNA to Exon in a ncRNA
6,1,Splice Junction Intron from Coding_Region to Coding_Region to Exon from 3'-UTR to 3'-UTR
7,42,Exon from 5'-UTR to 3'-UTR
8,34,Intron from 3'-UTR to 3'-UTR
9,90,Intron in a ncRNA
10,71,3'-UTR
11,24,Intron from 5'-UTR to 5'-UTR
12,38,5'-UTR
13,1,Exon from Coding_Region to 3'-UTR
