,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,727,G627.1,700,27,IonXpress_SFPQ_N
1,1289,G628.1,1269,1490,IonXpress_SFPQ_N
2,1758,G629.1,1737,16,IonXpress_SFPQ_N
3,1800,G629.2,1764,307,IonXpress_SFPQ_N
4,1816,G629.3,1801,78,IonXpress_SFPQ_N
5,2185,G630.1,2148,55,IonXpress_SFPQ_N
6,2216,G630.2,2194,18,IonXpress_SFPQ_N
7,2964,G631.1,2951,68,IonXpress_SFPQ_N
8,3007,G631.2,2981,327,IonXpress_SFPQ_N
9,3242,G632.1,3220,111,IonXpress_SFPQ_N
10,3317,G633.1,3298,10,IonXpress_SFPQ_N
11,4855,G634.1,4830,103,IonXpress_SFPQ_N
12,726,G546.1,713,4,IonXpress_NONO_N
13,767,G546.2,730,9,IonXpress_NONO_N
14,819,G546.3,793,9,IonXpress_NONO_N
15,1312,G547.1,1269,223,IonXpress_NONO_N
16,1766,G548.1,1737,21,IonXpress_NONO_N
17,2106,G549.1,2082,7,IonXpress_NONO_N
18,2968,G550.1,2956,52,IonXpress_NONO_N
19,3006,G550.2,2972,142,IonXpress_NONO_N
20,3208,G551.1,3186,26,IonXpress_NONO_N
21,3326,G551.2,3309,117,IonXpress_NONO_N
