,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,87492305,1283.0,87491022,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87492305,,87492305,,Splice Junction ,1
1,Intron in a ncRNA,87493484,1179.0,87492305,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87493485,,87493484,,Splice Junction ,2
2,Exon in a ncRNA,87493582,97.0,87493485,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87493582,,87493582,,Splice Junction ,3
3,Intron in a ncRNA,87494791,1209.0,87493582,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87494792,,87494791,,Splice Junction ,4
4,Exon in a ncRNA,87494967,175.0,87494792,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87494967,,87494967,,Splice Junction ,5
5,Intron in a ncRNA,87498777,3810.0,87494967,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87498778,,87498777,,Splice Junction ,6
6,Exon in a ncRNA,87498892,114.0,87498778,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87498892,,87498892,,Splice Junction ,7
7,Intron in a ncRNA,87501616,2724.0,87498892,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87501617,,87501616,,Splice Junction ,8
8,Exon in a ncRNA,87501771,154.0,87501617,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87501771,,87501771,,Splice Junction ,9
9,Intron in a ncRNA,87502254,483.0,87501771,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87502255,,87502254,,Splice Junction ,10
10,Exon in a ncRNA,87502316,61.0,87502255,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87502316,,87502316,,Splice Junction ,11
11,Intron in a ncRNA,87502844,528.0,87502316,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87502845,,87502844,,Splice Junction ,12
12,Exon in a ncRNA,87502997,152.0,87502845,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87502997,,87502997,,Splice Junction ,13
13,Intron in a ncRNA,87516378,13381.0,87502997,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87516379,,87516378,,Splice Junction ,14
14,Exon in a ncRNA,87516536,157.0,87516379,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87516536,,87516536,,Splice Junction ,15
15,Intron in a ncRNA,87517489,953.0,87516536,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87517490,,87517489,,Splice Junction ,16
16,Exon in a ncRNA,87517577,87.0,87517490,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87517577,,87517577,,Splice Junction ,17
17,Intron in a ncRNA,87521584,4007.0,87517577,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87521585,,87521584,,Splice Junction ,18
18,Exon in a ncRNA,87521683,98.0,87521585,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87521683,,87521683,,Splice Junction ,19
19,Intron in a ncRNA,87524260,2577.0,87521683,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87524261,,87524260,,Splice Junction ,20
20,Exon in a ncRNA,87524345,84.0,87524261,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87524345,,87524345,,Splice Junction ,21
21,Intron in a ncRNA,87536628,12283.0,87524345,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87536629,,87536628,,Splice Junction ,22
22,Exon in a ncRNA,87536733,104.0,87536629,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,87536733,,87536733,,Splice Junction ,23
23,Intron in a ncRNA,87564536,27803.0,87536733,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,87564537,,87564536,,Splice Junction ,24
24,Exon in a ncRNA,87564665,128.0,87564537,13.0,Exon,13
