,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,286,G1022.1,256,72,IonXpress_SFPQ_N
1,1045,G1023.1,1014,864,IonXpress_SFPQ_N
2,1070,G1023.2,1053,360,IonXpress_SFPQ_N
3,1827,G1024.1,1805,131,IonXpress_SFPQ_N
4,1902,G1025.1,1880,69,IonXpress_SFPQ_N
5,2269,G1026.1,2248,375,IonXpress_SFPQ_N
6,2307,G1026.2,2292,130,IonXpress_SFPQ_N
7,286,G901.1,268,42,IonXpress_NONO_N
8,1069,G902.1,1039,61,IonXpress_NONO_N
9,1837,G903.1,1807,101,IonXpress_NONO_N
10,1920,G904.1,1885,29,IonXpress_NONO_N
