,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,21,G2848.2,-21,29,IonXpress_SFPQ_N
1,291,G2849.1,267,178,IonXpress_SFPQ_N
2,326,G2849.2,307,153,IonXpress_SFPQ_N
3,457,G2850.1,440,18,IonXpress_SFPQ_N
4,480,G2850.2,461,13,IonXpress_SFPQ_N
5,518,G2850.3,482,15,IonXpress_SFPQ_N
6,657,G2851.1,636,10,IonXpress_SFPQ_N
7,718,G2851.2,697,51,IonXpress_SFPQ_N
8,1066,G2853.1,1021,89,IonXpress_SFPQ_N
9,1117,G2854.1,1094,32,IonXpress_SFPQ_N
10,1354,G2856.1,1331,29,IonXpress_SFPQ_N
11,1444,G2857.1,1418,3,IonXpress_SFPQ_N
12,1476,G2857.2,1457,48,IonXpress_SFPQ_N
13,1628,G2857.3,1568,208,IonXpress_SFPQ_N
14,1971,G2858.1,1928,24,IonXpress_SFPQ_N
15,2683,G2861.1,2648,22,IonXpress_SFPQ_N
16,3051,G2862.1,3020,11,IonXpress_SFPQ_N
17,3130,G2862.2,3097,24,IonXpress_SFPQ_N
18,196,G2870.1,172,29,IonXpress_SFPQ_N
19,1992,G2874.1,1970,14,IonXpress_SFPQ_N
20,2018,G2874.2,1999,7,IonXpress_SFPQ_N
21,2293,G2875.1,2282,15,IonXpress_SFPQ_N
22,2387,G2875.2,2340,42,IonXpress_SFPQ_N
23,387,G2472.1,349,24,IonXpress_NONO_N
24,541,G2473.1,518,20,IonXpress_NONO_N
25,661,G2473.2,637,18,IonXpress_NONO_N
26,1063,G2474.1,1024,38,IonXpress_NONO_N
27,1448,G2475.1,1429,19,IonXpress_NONO_N
28,1490,G2475.2,1459,123,IonXpress_NONO_N
29,1565,G2476.1,1540,26,IonXpress_NONO_N
30,1640,G2476.2,1625,2,IonXpress_NONO_N
31,1051,G2485.1,1022,38,IonXpress_NONO_N
32,1074,G2485.2,1052,15,IonXpress_NONO_N
33,1123,G2485.3,1104,6,IonXpress_NONO_N
34,1411,G2486.1,1380,37,IonXpress_NONO_N
35,1912,G2487.1,1894,13,IonXpress_NONO_N
36,2008,G2487.2,1983,19,IonXpress_NONO_N
37,2147,G2488.1,2113,38,IonXpress_NONO_N
38,2308,G2489.1,2290,7,IonXpress_NONO_N
39,2343,G2489.2,2324,9,IonXpress_NONO_N
40,2621,G2490.1,2587,12,IonXpress_NONO_N
41,2646,G2490.2,2624,20,IonXpress_NONO_N
42,2981,G2492.1,2945,5,IonXpress_NONO_N
