,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,30,G2825.20,-45,295,IonXpress_SFPQ_N
1,185,G2825.21,156,134,IonXpress_SFPQ_N
2,244,G2825.22,218,12,IonXpress_SFPQ_N
3,327,G2825.23,285,39,IonXpress_SFPQ_N
4,380,G2825.24,355,50,IonXpress_SFPQ_N
5,401,G2825.25,383,60,IonXpress_SFPQ_N
6,436,G2825.26,413,332,IonXpress_SFPQ_N
7,479,G2825.27,446,252,IonXpress_SFPQ_N
8,613,G2825.28,593,55,IonXpress_SFPQ_N
9,720,G2825.29,694,20,IonXpress_SFPQ_N
10,774,G2825.30,761,9,IonXpress_SFPQ_N
11,899,G2825.31,851,173,IonXpress_SFPQ_N
12,981,G2825.32,958,40,IonXpress_SFPQ_N
13,1009,G2825.33,985,92,IonXpress_SFPQ_N
14,1117,G2825.34,1022,775,IonXpress_SFPQ_N
15,1168,G2825.35,1128,250,IonXpress_SFPQ_N
16,1193,G2825.36,1174,49,IonXpress_SFPQ_N
17,1233,G2825.37,1200,107,IonXpress_SFPQ_N
18,1274,G2825.38,1256,44,IonXpress_SFPQ_N
19,1363,G2825.39,1312,217,IonXpress_SFPQ_N
20,1493,G2825.40,1464,12,IonXpress_SFPQ_N
21,1563,G2825.41,1531,30,IonXpress_SFPQ_N
22,1621,G2825.42,1581,39,IonXpress_SFPQ_N
23,1672,G2825.43,1651,41,IonXpress_SFPQ_N
24,1780,G2825.44,1753,6,IonXpress_SFPQ_N
25,1820,G2825.45,1802,11,IonXpress_SFPQ_N
26,1928,G2825.46,1905,65,IonXpress_SFPQ_N
27,1949,G2825.47,1933,4,IonXpress_SFPQ_N
28,2193,G2826.1,2146,78,IonXpress_SFPQ_N
29,2322,G2826.2,2291,15,IonXpress_SFPQ_N
30,7,G2455.5,-38,69,IonXpress_NONO_N
31,37,G2455.6,11,127,IonXpress_NONO_N
32,143,G2455.7,124,91,IonXpress_NONO_N
33,184,G2455.8,145,95,IonXpress_NONO_N
34,214,G2455.9,185,30,IonXpress_NONO_N
35,308,G2455.10,285,26,IonXpress_NONO_N
36,380,G2455.11,323,53,IonXpress_NONO_N
37,413,G2455.12,386,67,IonXpress_NONO_N
38,505,G2455.13,486,39,IonXpress_NONO_N
39,575,G2455.14,518,170,IonXpress_NONO_N
40,606,G2455.15,584,56,IonXpress_NONO_N
41,659,G2455.16,623,17,IonXpress_NONO_N
42,704,G2455.17,673,45,IonXpress_NONO_N
43,797,G2455.18,756,86,IonXpress_NONO_N
44,826,G2455.19,810,25,IonXpress_NONO_N
45,847,G2455.20,827,24,IonXpress_NONO_N
46,899,G2455.21,851,136,IonXpress_NONO_N
47,954,G2455.22,912,51,IonXpress_NONO_N
48,1052,G2456.1,1031,56,IonXpress_NONO_N
49,1116,G2456.2,1068,143,IonXpress_NONO_N
50,1168,G2456.3,1140,949,IonXpress_NONO_N
51,1190,G2456.4,1176,39,IonXpress_NONO_N
52,1240,G2456.5,1215,59,IonXpress_NONO_N
53,1270,G2456.6,1247,116,IonXpress_NONO_N
54,1308,G2456.7,1287,22,IonXpress_NONO_N
55,1342,G2456.8,1315,69,IonXpress_NONO_N
56,1437,G2457.1,1414,19,IonXpress_NONO_N
57,1463,G2457.2,1447,15,IonXpress_NONO_N
58,1669,G2458.1,1619,10,IonXpress_NONO_N
59,2194,G2460.1,2182,31,IonXpress_NONO_N
