,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,97357090,164.0,97356926,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97357090,,97357090,,Splice Junction ,1
1,Intron in a ncRNA,97357180,90.0,97357090,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97357181,,97357180,,Splice Junction ,2
2,Exon in a ncRNA,97357349,168.0,97357181,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97357349,,97357349,,Splice Junction ,3
3,Intron in a ncRNA,97357560,211.0,97357349,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97357561,,97357560,,Splice Junction ,4
4,Exon in a ncRNA,97357700,139.0,97357561,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97357700,,97357700,,Splice Junction ,5
5,Intron in a ncRNA,97357839,139.0,97357700,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97357840,,97357839,,Splice Junction ,6
6,Exon in a ncRNA,97357918,78.0,97357840,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97357918,,97357918,,Splice Junction ,7
7,Intron in a ncRNA,97359241,1323.0,97357918,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97359242,,97359241,,Splice Junction ,8
8,Exon in a ncRNA,97359424,182.0,97359242,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97359424,,97359424,,Splice Junction ,9
9,Intron in a ncRNA,97359646,222.0,97359424,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97359647,,97359646,,Splice Junction ,10
10,Exon in a ncRNA,97359809,162.0,97359647,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97359809,,97359809,,Splice Junction ,11
11,Intron in a ncRNA,97360095,286.0,97359809,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97360096,,97360095,,Splice Junction ,12
12,Exon in a ncRNA,97360368,272.0,97360096,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97360368,,97360368,,Splice Junction ,13
13,Intron in a ncRNA,97361244,876.0,97360368,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97361245,,97361244,,Splice Junction ,14
14,Exon in a ncRNA,97361398,153.0,97361245,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97361398,,97361398,,Splice Junction ,15
15,Intron in a ncRNA,97361477,79.0,97361398,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97361478,,97361477,,Splice Junction ,16
16,Exon in a ncRNA,97361641,163.0,97361478,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97361641,,97361641,,Splice Junction ,17
17,Intron in a ncRNA,97361787,146.0,97361641,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97361788,,97361787,,Splice Junction ,18
18,Exon in a ncRNA,97361814,26.0,97361788,10.0,Exon,10
18,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97361814,,97361814,,Splice Junction ,19
19,Intron in a ncRNA,97363261,1447.0,97361814,10.0,Intron,10
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97363262,,97363261,,Splice Junction ,20
20,Exon in a ncRNA,97363313,51.0,97363262,11.0,Exon,11
20,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97363313,,97363313,,Splice Junction ,21
21,Intron in a ncRNA,97363395,82.0,97363313,11.0,Intron,11
21,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97363396,,97363395,,Splice Junction ,22
22,Exon in a ncRNA,97363498,102.0,97363396,12.0,Exon,12
22,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97363498,,97363498,,Splice Junction ,23
23,Intron in a ncRNA,97363772,274.0,97363498,12.0,Intron,12
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97363773,,97363772,,Splice Junction ,24
24,Exon in a ncRNA,97363893,120.0,97363773,13.0,Exon,13
24,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97363893,,97363893,,Splice Junction ,25
25,Intron in a ncRNA,97364406,513.0,97363893,13.0,Intron,13
25,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97364407,,97364406,,Splice Junction ,26
26,Exon in a ncRNA,97364569,162.0,97364407,14.0,Exon,14
26,Splice Junction Exon in a ncRNA to Intron in a ncRNA,97364569,,97364569,,Splice Junction ,27
27,Intron in a ncRNA,97364780,211.0,97364569,14.0,Intron,14
27,Splice Junction Intron in a ncRNA to Exon in a ncRNA,97364781,,97364780,,Splice Junction ,28
28,Exon in a ncRNA,97364873,92.0,97364781,15.0,Exon,15
