,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,320,G285.1,296,6383,IonXpress_SFPQ_N
1,483,G286.1,469,63,IonXpress_SFPQ_N
2,512,G286.2,498,1049,IonXpress_SFPQ_N
3,548,G286.3,526,3119,IonXpress_SFPQ_N
4,975,G287.1,957,1582,IonXpress_SFPQ_N
5,1005,G287.2,983,3321,IonXpress_SFPQ_N
6,1486,G288.1,1461,147,IonXpress_SFPQ_N
7,1527,G288.2,1507,454,IonXpress_SFPQ_N
8,1759,G289.1,1744,63,IonXpress_SFPQ_N
9,1783,G289.2,1760,242,IonXpress_SFPQ_N
10,2089,G290.1,2072,212,IonXpress_SFPQ_N
11,2124,G290.2,2101,797,IonXpress_SFPQ_N
12,2466,G291.1,2436,519,IonXpress_SFPQ_N
13,2745,G292.1,2707,202,IonXpress_SFPQ_N
14,2799,G292.2,2759,645,IonXpress_SFPQ_N
15,3008,G293.1,2988,732,IonXpress_SFPQ_N
16,3808,G294.1,3786,1561,IonXpress_SFPQ_N
17,314,G194.1,277,479,IonXpress_NONO_N
18,487,G195.1,470,21,IonXpress_NONO_N
19,537,G195.2,515,869,IonXpress_NONO_N
20,1000,G196.1,973,343,IonXpress_NONO_N
21,1485,G197.1,1443,139,IonXpress_NONO_N
22,1524,G197.2,1491,245,IonXpress_NONO_N
23,1756,G198.1,1725,48,IonXpress_NONO_N
24,1780,G198.2,1765,30,IonXpress_NONO_N
25,2129,G199.1,2106,288,IonXpress_NONO_N
26,2431,G200.1,2418,41,IonXpress_NONO_N
27,2462,G200.2,2437,197,IonXpress_NONO_N
28,2768,G201.1,2739,321,IonXpress_NONO_N
29,2806,G201.2,2777,86,IonXpress_NONO_N
30,2997,G202.1,2980,9,IonXpress_NONO_N
31,3034,G202.2,3003,23,IonXpress_NONO_N
32,3806,G203.1,3785,33,IonXpress_NONO_N
