,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,162864810,234.0,162864576,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162864810,,162864810,,Splice Junction ,1
1,Intron in a ncRNA,162866261,1451.0,162864810,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162866262,,162866261,,Splice Junction ,2
2,Exon in a ncRNA,162866352,90.0,162866262,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162866352,,162866352,,Splice Junction ,3
3,Intron in a ncRNA,162866472,120.0,162866352,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162866473,,162866472,,Splice Junction ,4
4,Exon in a ncRNA,162866526,53.0,162866473,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162866526,,162866526,,Splice Junction ,5
5,Intron in a ncRNA,162868082,1556.0,162866526,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162868083,,162868082,,Splice Junction ,6
6,Exon in a ncRNA,162868337,254.0,162868083,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162868337,,162868337,,Splice Junction ,7
7,Intron in a ncRNA,162868890,553.0,162868337,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162868891,,162868890,,Splice Junction ,8
8,Exon in a ncRNA,162868970,79.0,162868891,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162868970,,162868970,,Splice Junction ,9
9,Intron in a ncRNA,162869049,79.0,162868970,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162869050,,162869049,,Splice Junction ,10
10,Exon in a ncRNA,162869149,99.0,162869050,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162869149,,162869149,,Splice Junction ,11
11,Intron in a ncRNA,162869378,229.0,162869149,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162869379,,162869378,,Splice Junction ,12
12,Exon in a ncRNA,162869574,195.0,162869379,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162869574,,162869574,,Splice Junction ,13
13,Intron in a ncRNA,162870678,1104.0,162869574,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162870679,,162870678,,Splice Junction ,14
14,Exon in a ncRNA,162870931,252.0,162870679,8.0,Exon,8
14,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162870931,,162870931,,Splice Junction ,15
15,Intron in a ncRNA,162871341,410.0,162870931,8.0,Intron,8
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162871342,,162871341,,Splice Junction ,16
16,Exon in a ncRNA,162871487,145.0,162871342,9.0,Exon,9
16,Splice Junction Exon in a ncRNA to Intron in a ncRNA,162871487,,162871487,,Splice Junction ,17
17,Intron in a ncRNA,162873680,2193.0,162871487,9.0,Intron,9
17,Splice Junction Intron in a ncRNA to Exon in a ncRNA,162873681,,162873680,,Splice Junction ,18
18,Exon in a ncRNA,162875205,1524.0,162873681,10.0,Exon,10
