,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,493,G627.1,466,27,IonXpress_SFPQ_N
1,1055,G628.1,1035,1490,IonXpress_SFPQ_N
2,1524,G629.1,1503,16,IonXpress_SFPQ_N
3,1566,G629.2,1530,307,IonXpress_SFPQ_N
4,1582,G629.3,1567,78,IonXpress_SFPQ_N
5,1951,G630.1,1914,55,IonXpress_SFPQ_N
6,1982,G630.2,1960,18,IonXpress_SFPQ_N
7,492,G546.1,479,4,IonXpress_NONO_N
8,533,G546.2,496,9,IonXpress_NONO_N
9,585,G546.3,559,9,IonXpress_NONO_N
10,1078,G547.1,1035,223,IonXpress_NONO_N
11,1532,G548.1,1503,21,IonXpress_NONO_N
12,1872,G549.1,1848,7,IonXpress_NONO_N
