,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,5111,G2977.1,5095,15,IonXpress_SFPQ_N
1,5150,G2977.2,5123,24,IonXpress_SFPQ_N
2,5436,G2978.1,5420,6,IonXpress_SFPQ_N
3,5485,G2978.2,5459,68,IonXpress_SFPQ_N
4,5695,G2979.1,5668,40,IonXpress_SFPQ_N
5,11603,G2980.1,11580,38,IonXpress_SFPQ_N
6,19447,G2982.1,19408,2,IonXpress_SFPQ_N
7,19510,G2982.2,19482,19,IonXpress_SFPQ_N
8,5662,G2591.1,5623,32,IonXpress_NONO_N
9,5696,G2591.2,5680,19,IonXpress_NONO_N
10,5742,G2591.3,5699,17,IonXpress_NONO_N
11,12904,G2592.1,12891,7,IonXpress_NONO_N
12,12956,G2592.2,12935,10,IonXpress_NONO_N
13,13020,G2592.3,12991,93,IonXpress_NONO_N
14,13529,G2593.1,13499,23,IonXpress_NONO_N
15,13935,G2594.1,13902,7,IonXpress_NONO_N
16,13969,G2594.2,13946,39,IonXpress_NONO_N
