,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,16,G2836.2,-13,16,IonXpress_SFPQ_N
1,169,G2837.1,122,44,IonXpress_SFPQ_N
2,363,G2838.1,313,78,IonXpress_SFPQ_N
3,526,G2839.1,518,17,IonXpress_SFPQ_N
4,559,G2839.2,536,38,IonXpress_SFPQ_N
5,827,G2840.1,810,36,IonXpress_SFPQ_N
6,858,G2840.2,837,48,IonXpress_SFPQ_N
7,1099,G2840.3,1054,182,IonXpress_SFPQ_N
8,1493,G2842.1,1474,25,IonXpress_SFPQ_N
9,1539,G2842.2,1523,109,IonXpress_SFPQ_N
10,21,G2465.2,-2,19,IonXpress_NONO_N
11,60,G2465.3,48,18,IonXpress_NONO_N
12,1105,G2467.1,1085,24,IonXpress_NONO_N
13,1561,G2482.1,1537,81,IonXpress_NONO_N
14,1586,G2482.2,1567,50,IonXpress_NONO_N
