,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,1472,G2454.1,1456,54,IonXpress_SFPQ_N
1,21274,G2456.1,21255,15,IonXpress_SFPQ_N
2,31761,G2458.1,31749,6,IonXpress_SFPQ_N
3,32774,G2459.1,32744,81,IonXpress_SFPQ_N
4,33921,G2460.1,33888,115,IonXpress_SFPQ_N
5,9923,G2068.1,9896,40,IonXpress_NONO_N
6,10059,G2068.2,10046,7,IonXpress_NONO_N
7,10089,G2068.3,10067,8,IonXpress_NONO_N
8,10665,G2069.1,10657,16,IonXpress_NONO_N
9,10723,G2070.1,10701,52,IonXpress_NONO_N
10,16245,G2071.1,16223,55,IonXpress_NONO_N
11,19625,G2072.1,19609,19,IonXpress_NONO_N
12,19704,G2072.2,19674,23,IonXpress_NONO_N
13,22216,G2073.1,22195,48,IonXpress_NONO_N
14,23964,G2074.1,23952,6,IonXpress_NONO_N
15,29296,G2076.1,29273,84,IonXpress_NONO_N
16,29468,G2077.1,29447,14,IonXpress_NONO_N
17,29506,G2077.2,29493,10,IonXpress_NONO_N
18,29552,G2077.3,29521,33,IonXpress_NONO_N
19,31268,G2078.1,31254,49,IonXpress_NONO_N
20,31306,G2079.1,31288,16,IonXpress_NONO_N
21,31350,G2079.2,31328,22,IonXpress_NONO_N
22,33867,G2080.1,33843,22,IonXpress_NONO_N
23,33887,G2080.2,33868,34,IonXpress_NONO_N
24,33902,G2080.3,33890,10,IonXpress_NONO_N
25,34174,G2081.1,34146,60,IonXpress_NONO_N
26,34711,G2082.1,34701,4,IonXpress_NONO_N
27,34736,G2082.2,34720,46,IonXpress_NONO_N
28,34756,G2082.3,34739,38,IonXpress_NONO_N
29,36002,G2083.1,35959,49,IonXpress_NONO_N
