,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,911,G68.1,878,445,IonXpress_SFPQ_N
1,1716,G69.1,1695,560,IonXpress_SFPQ_N
2,1749,G69.2,1731,364,IonXpress_SFPQ_N
3,1773,G69.3,1759,90,IonXpress_SFPQ_N
4,3305,G70.1,3285,464,IonXpress_SFPQ_N
5,3352,G70.2,3321,703,IonXpress_SFPQ_N
6,908,G38.1,893,32,IonXpress_NONO_N
7,948,G38.2,925,100,IonXpress_NONO_N
8,1728,G39.1,1702,112,IonXpress_NONO_N
9,1767,G39.2,1736,83,IonXpress_NONO_N
10,3316,G40.1,3293,115,IonXpress_NONO_N
11,3353,G40.2,3333,37,IonXpress_NONO_N
