,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,341,G33.1,290,71,IonXpress_SFPQ_N
1,408,G33.2,378,351,IonXpress_SFPQ_N
2,121676,G34.1,121657,1580,IonXpress_SFPQ_N
3,132319,G35.1,132310,49,IonXpress_SFPQ_N
4,132339,G35.2,132320,183,IonXpress_SFPQ_N
5,155789,G36.1,155769,27,IonXpress_SFPQ_N
6,155821,G36.2,155792,78,IonXpress_SFPQ_N
7,155872,G36.3,155844,289,IonXpress_SFPQ_N
8,273,G9.1,250,18,IonXpress_NONO_N
9,324,G9.2,300,50,IonXpress_NONO_N
10,408,G10.1,381,51,IonXpress_NONO_N
11,121676,G12.1,121657,126,IonXpress_NONO_N
12,132337,G13.1,132311,30,IonXpress_NONO_N
13,155789,G14.1,155769,8,IonXpress_NONO_N
14,155828,G14.2,155801,13,IonXpress_NONO_N
