,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,607,G478.1,588,77,IonXpress_SFPQ_N
1,752,G479.1,708,22,IonXpress_SFPQ_N
2,817,G479.2,786,23,IonXpress_SFPQ_N
3,835,G479.3,818,21,IonXpress_SFPQ_N
4,912,G479.4,890,61,IonXpress_SFPQ_N
5,935,G479.5,915,35,IonXpress_SFPQ_N
6,1580,G480.1,1534,37,IonXpress_SFPQ_N
7,1926,G481.1,1905,11,IonXpress_SFPQ_N
8,2009,G481.2,1972,35,IonXpress_SFPQ_N
9,2065,G481.3,2042,10,IonXpress_SFPQ_N
10,2389,G482.1,2368,7,IonXpress_SFPQ_N
11,2438,G482.2,2422,57,IonXpress_SFPQ_N
12,2494,G482.3,2459,92,IonXpress_SFPQ_N
13,3002,G483.1,2979,45,IonXpress_SFPQ_N
14,3067,G483.2,3040,29,IonXpress_SFPQ_N
15,3089,G483.3,3071,13,IonXpress_SFPQ_N
16,3637,G485.1,3618,14,IonXpress_SFPQ_N
17,3681,G485.2,3666,31,IonXpress_SFPQ_N
18,3709,G485.3,3685,99,IonXpress_SFPQ_N
19,4201,G486.1,4185,6,IonXpress_SFPQ_N
20,4442,G487.1,4415,40,IonXpress_SFPQ_N
21,4518,G487.2,4493,27,IonXpress_SFPQ_N
22,4542,G487.3,4523,12,IonXpress_SFPQ_N
23,4680,G488.1,4638,23,IonXpress_SFPQ_N
24,4723,G488.2,4697,16,IonXpress_SFPQ_N
25,5711,G489.1,5695,30,IonXpress_SFPQ_N
26,5772,G489.2,5727,66,IonXpress_SFPQ_N
27,6103,G490.1,6091,29,IonXpress_SFPQ_N
28,6125,G490.2,6107,30,IonXpress_SFPQ_N
29,6391,G491.1,6359,52,IonXpress_SFPQ_N
30,7650,G492.1,7618,51,IonXpress_SFPQ_N
31,8255,G494.1,8231,55,IonXpress_SFPQ_N
32,10818,G495.1,10792,36,IonXpress_SFPQ_N
33,11442,G497.1,11411,71,IonXpress_SFPQ_N
34,13065,G498.1,13048,14,IonXpress_SFPQ_N
35,16088,G501.1,16059,87,IonXpress_SFPQ_N
36,16114,G501.2,16092,90,IonXpress_SFPQ_N
37,20410,G502.1,20392,30,IonXpress_SFPQ_N
38,20464,G502.2,20414,78,IonXpress_SFPQ_N
39,20566,G503.1,20539,43,IonXpress_SFPQ_N
40,20887,G504.1,20865,28,IonXpress_SFPQ_N
41,21211,G505.1,21190,58,IonXpress_SFPQ_N
42,400,G375.1,375,3,IonXpress_NONO_N
43,409,G375.2,402,2,IonXpress_NONO_N
44,440,G375.3,410,13,IonXpress_NONO_N
45,478,G375.4,461,8,IonXpress_NONO_N
46,745,G376.1,689,80,IonXpress_NONO_N
47,771,G376.2,746,30,IonXpress_NONO_N
48,807,G376.3,793,6,IonXpress_NONO_N
49,831,G376.4,809,22,IonXpress_NONO_N
50,862,G376.5,844,54,IonXpress_NONO_N
51,1020,G377.1,993,45,IonXpress_NONO_N
52,1061,G377.2,1053,5,IonXpress_NONO_N
53,1111,G377.3,1092,32,IonXpress_NONO_N
54,1145,G377.4,1118,24,IonXpress_NONO_N
55,1185,G377.5,1158,14,IonXpress_NONO_N
56,1418,G378.1,1391,24,IonXpress_NONO_N
57,1466,G378.2,1441,19,IonXpress_NONO_N
58,1531,G378.3,1500,60,IonXpress_NONO_N
59,1553,G378.4,1539,9,IonXpress_NONO_N
60,1584,G378.5,1563,13,IonXpress_NONO_N
61,1638,G378.6,1616,16,IonXpress_NONO_N
62,1766,G379.1,1747,23,IonXpress_NONO_N
63,1876,G379.2,1799,113,IonXpress_NONO_N
64,1903,G379.3,1880,33,IonXpress_NONO_N
65,1933,G379.4,1913,42,IonXpress_NONO_N
66,1966,G379.5,1943,63,IonXpress_NONO_N
67,1989,G379.6,1980,5,IonXpress_NONO_N
68,2063,G380.1,2017,191,IonXpress_NONO_N
69,2120,G380.2,2102,5,IonXpress_NONO_N
70,2178,G381.1,2157,18,IonXpress_NONO_N
71,2223,G381.2,2205,33,IonXpress_NONO_N
72,2276,G381.3,2257,55,IonXpress_NONO_N
73,2301,G381.4,2277,65,IonXpress_NONO_N
74,2348,G381.5,2308,86,IonXpress_NONO_N
75,2383,G381.6,2367,19,IonXpress_NONO_N
76,2409,G381.7,2391,14,IonXpress_NONO_N
77,2481,G381.8,2415,76,IonXpress_NONO_N
78,2549,G382.1,2506,27,IonXpress_NONO_N
79,2619,G382.2,2558,44,IonXpress_NONO_N
80,2678,G382.3,2646,19,IonXpress_NONO_N
81,2817,G383.1,2796,20,IonXpress_NONO_N
82,2853,G383.2,2820,87,IonXpress_NONO_N
83,2891,G383.3,2873,13,IonXpress_NONO_N
84,2965,G383.4,2898,70,IonXpress_NONO_N
85,3000,G383.5,2978,216,IonXpress_NONO_N
86,3037,G383.6,3015,17,IonXpress_NONO_N
87,3091,G383.7,3038,118,IonXpress_NONO_N
88,3139,G384.1,3120,8,IonXpress_NONO_N
89,3161,G384.2,3147,18,IonXpress_NONO_N
90,3218,G384.3,3189,91,IonXpress_NONO_N
91,3244,G384.4,3223,10,IonXpress_NONO_N
92,3275,G384.5,3246,22,IonXpress_NONO_N
93,3315,G384.6,3296,30,IonXpress_NONO_N
94,3417,G385.1,3402,13,IonXpress_NONO_N
95,3445,G385.2,3428,35,IonXpress_NONO_N
