,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,50183510,114.0,50183396,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50183510,,50183510,,Splice Junction ,1
1,Intron in a ncRNA,50183742,232.0,50183510,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50183743,,50183742,,Splice Junction ,2
2,Exon in a ncRNA,50183845,102.0,50183743,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50183845,,50183845,,Splice Junction ,3
3,Intron in a ncRNA,50185165,1320.0,50183845,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50185166,,50185165,,Splice Junction ,4
4,Exon in a ncRNA,50185322,156.0,50185166,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50185322,,50185322,,Splice Junction ,5
5,Intron in a ncRNA,50185451,129.0,50185322,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50185452,,50185451,,Splice Junction ,6
6,Exon in a ncRNA,50185516,64.0,50185452,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50185516,,50185516,,Splice Junction ,7
7,Intron in a ncRNA,50187182,1666.0,50185516,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50187183,,50187182,,Splice Junction ,8
8,Exon in a ncRNA,50187326,143.0,50187183,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50187326,,50187326,,Splice Junction ,9
9,Intron in a ncRNA,50188009,683.0,50187326,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50188010,,50188009,,Splice Junction ,10
10,Exon in a ncRNA,50188098,88.0,50188010,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50188098,,50188098,,Splice Junction ,11
11,Intron in a ncRNA,50188177,79.0,50188098,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50188178,,50188177,,Splice Junction ,12
12,Exon in a ncRNA,50188896,718.0,50188178,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,50188896,,50188896,,Splice Junction ,13
13,Intron in a ncRNA,50189348,452.0,50188896,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,50189349,,50189348,,Splice Junction ,14
14,Exon in a ncRNA,50189500,151.0,50189349,8.0,Exon,8
