,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,3246,G2711.1,3216,61,IonXpress_SFPQ_N
1,11309,G2712.1,11296,25,IonXpress_SFPQ_N
2,493,G2329.1,472,51,IonXpress_NONO_N
3,2765,G2330.1,2726,47,IonXpress_NONO_N
4,3109,G2331.1,3095,35,IonXpress_NONO_N
5,3129,G2331.2,3121,19,IonXpress_NONO_N
6,3382,G2332.1,3363,83,IonXpress_NONO_N
7,3432,G2332.2,3411,29,IonXpress_NONO_N
8,4387,G2333.1,4359,17,IonXpress_NONO_N
9,4427,G2333.2,4398,34,IonXpress_NONO_N
10,5142,G2334.1,5118,87,IonXpress_NONO_N
11,5213,G2335.1,5175,279,IonXpress_NONO_N
12,5260,G2335.2,5240,18,IonXpress_NONO_N
13,6118,G2336.1,6098,44,IonXpress_NONO_N
14,7953,G2337.1,7933,19,IonXpress_NONO_N
15,7998,G2337.2,7957,78,IonXpress_NONO_N
16,8063,G2338.1,8033,34,IonXpress_NONO_N
17,8146,G2338.2,8115,17,IonXpress_NONO_N
18,8184,G2338.3,8153,120,IonXpress_NONO_N
19,10096,G2339.1,10075,34,IonXpress_NONO_N
20,10119,G2339.2,10100,29,IonXpress_NONO_N
21,10234,G2340.1,10207,38,IonXpress_NONO_N
22,10947,G2341.1,10928,26,IonXpress_NONO_N
23,11052,G2342.1,11026,9,IonXpress_NONO_N
24,11146,G2342.2,11120,45,IonXpress_NONO_N
25,11295,G2343.1,11281,43,IonXpress_NONO_N
