,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,6963856,236.0,6963620,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,6963856,,6963856,,Splice Junction ,1
1,Intron in a ncRNA,6971178,7322.0,6963856,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,6971179,,6971178,,Splice Junction ,2
2,Exon in a ncRNA,6971374,195.0,6971179,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,6971374,,6971374,,Splice Junction ,3
3,Intron in a ncRNA,6972249,875.0,6971374,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,6972250,,6972249,,Splice Junction ,4
4,Exon in a ncRNA,6972415,165.0,6972250,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,6972415,,6972415,,Splice Junction ,5
5,Intron in a ncRNA,6981700,9285.0,6972415,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,6981701,,6981700,,Splice Junction ,6
6,Exon in a ncRNA,6981781,80.0,6981701,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,6981781,,6981781,,Splice Junction ,7
7,Intron in a ncRNA,6984705,2924.0,6981781,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,6984706,,6984705,,Splice Junction ,8
8,Exon in a ncRNA,6984859,153.0,6984706,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,6984859,,6984859,,Splice Junction ,9
9,Intron in a ncRNA,6986298,1439.0,6984859,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,6986299,,6986298,,Splice Junction ,10
10,Exon in a ncRNA,6986422,123.0,6986299,6.0,Exon,6
