,transcript,IonXpress_SFPQ_N,IonXpress_NONO_N,#name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,alignID,Unnamed: 0,#kgID,mRNA,spID,spDisplayID,geneSymbol,refseq,protAcc,description,rfamAcc,tRnaName
0,uc010cto.3,['G1246.1'],['G1077.1'],uc010cto.3,chr17,+,33475282,33516364,33475282,33513578,17,"33475282,33475991,33477066,33479911,33481592,33482314,33486393,33491013,33495079,33498340,33501260,33502986,33504035,33504513,33507577,33510445,33513317,","33475450,33476028,33477242,33480001,33481760,33482483,33486564,33491185,33495380,33498481,33501388,33503053,33504149,33504629,33507695,33510601,33516364,",Q8IWX7-2,uc010cto.3,30620,uc010cto.3,BC101062,Q8IWX7-2,Q8IWX7-2,UNC45B,NM_001267052,NP_001253981,"Homo sapiens unc-45 homolog B (C. elegans) (UNC45B), transcript variant 3, mRNA.",,
1,uc010pwa.1,['G157.1' 'G159.1' 'G162.1'],['G93.1' 'G94.1'],uc010pwa.1,chr1,+,230202955,230417875,230203027,230415204,16,"230202955,230313963,230338882,230371759,230372098,230372405,230379051,230381808,230384929,230386202,230390963,230398318,230398667,230400986,230410190,230415048,","230203153,230314057,230339036,230371858,230372166,230372471,230379173,230381896,230385017,230386306,230391090,230398411,230398751,230401113,230410310,230417875,",Q10471,uc010pwa.1,3748,uc010pwa.1,NM_004481,Q10471,GALT2_HUMAN,GALNT2,NM_004481,NP_004472,"Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2), mRNA.",,
2,uc010jlt.1,['G2281.1' 'G2281.2'],,uc010jlt.1,chr5,-,180668817,180668889,180668817,180668817,1,"180668817,","180668889,",uc010jlt.1,,60234,uc010jlt.1,NR_002592,,,SNORD96A,NR_002592,,"Homo sapiens small nucleolar RNA, C/D box 96A (SNORD96A), small nucleolar RNA.",,
3,uc002fun.4,['G1150.1'],,uc002fun.4,chr17,+,2240805,2284348,2240982,2282814,23,"2240805,2246838,2264930,2265402,2266131,2266282,2266758,2267352,2267889,2268190,2268508,2274555,2275483,2275636,2276246,2276624,2278785,2279430,2280026,2280252,2281150,2282329,2282725,","2241039,2246914,2265093,2265564,2266199,2266428,2266893,2267477,2267957,2268351,2268635,2274709,2275548,2275782,2276375,2276807,2279169,2279555,2280109,2280362,2281247,2282497,2284348,",O43147,uc002fun.4,29849,uc002fun.4,NM_001098509,O43147,SGSM2_HUMAN,SGSM2,NM_001098509,NP_001091979,"Homo sapiens small G protein signaling modulator 2 (SGSM2), transcript variant 1, mRNA.",,
4,uc003qgz.3,['G2436.1'],,uc003qgz.3,chr6,-,136663418,136871957,136665365,136871546,18,"136663418,136666993,136677829,136680957,136681118,136681834,136682142,136683587,136686872,136687464,136693638,136698892,136704808,136709530,136710491,136732757,136742838,136871479,","136665376,136667217,136677932,136681015,136681169,136681936,136682317,136683840,136687156,136687577,136693763,136699006,136704919,136709648,136710655,136732835,136742937,136871957,",Q14244,uc003qgz.3,63879,uc003qgz.3,NM_003980,Q14244,MAP7_HUMAN,MAP7,NM_003980,NP_001185548,"Homo sapiens microtubule-associated protein 7 (MAP7), transcript variant 4, mRNA.",,
5,uc021ykd.1,['G2181.1'],['G1878.1'],uc021ykd.1,chr5,+,180634754,180634827,180634754,180634754,1,"180634754,","180634827,",uc021ykd.1,,81396,uc021ykd.1,,,,TRNA_Lys,,,transfer RNA Lys (anticodon CTT),,chr5.tRNA9-LysCTT
6,uc003fnw.3,['G1913.1' 'G1914.1'],,uc003fnw.3,chr3,+,184033195,184053146,184033584,184052696,32,"184033195,184033919,184034500,184035108,184035504,184037476,184038417,184038714,184039069,184040149,184040331,184040608,184040870,184041195,184041567,184041988,184042665,184043056,184043267,184043638,184044314,184044668,184045003,184045373,184045617,184046418,184046696,184049053,184049259,184049515,184049733,184052514,","184033644,184034006,184034521,184035285,184035604,184037589,184038510,184038781,184039891,184040238,184040518,184040742,184041029,184041381,184041765,184042135,184042902,184043161,184043427,184043739,184044417,184044771,184045236,184045492,184045790,184046544,184046778,184049152,184049394,184049597,184049874,184053146,",E9PFM1,uc003fnw.3,51859,uc003fnw.3,AB210013,E9PFM1,E9PFM1_HUMAN,EIF4G1,NM_198242,NP_937885,"Homo sapiens eukaryotic translation initiation factor 4 gamma, 1 (EIF4G1), transcript variant 1, mRNA.",,
7,uc021ykf.1,['G2278.1'],,uc021ykf.1,chr5,-,180648978,180649051,180648978,180648978,1,"180648978,","180649051,",uc021ykf.1,,81398,uc021ykf.1,,,,TRNA_Lys,,,transfer RNA Lys (anticodon CTT),,chr5.tRNA11-LysCTT
8,uc009wkt.1,['G259.1'],,uc009wkt.1,chr1,+,148739561,148758311,148743885,148756684,14,"148739561,148741689,148742626,148743882,148744419,148745912,148751037,148751708,148752600,148753248,148754130,148754834,148755721,148756440,","148739909,148741792,148742841,148743955,148744625,148745964,148751089,148751881,148752652,148753421,148754182,148755007,148755827,148758311,",Q5SXJ2,uc009wkt.1,2254,uc009wkt.1,AY894562,Q5SXJ2,NBPFG_HUMAN,NBPF16,,,"Homo sapiens neuroblastoma breakpoint family, member 16 (NBPF16), mRNA.",,
9,uc001whd.3,['G878.1'],,uc001whd.3,chr14,+,23340959,23347291,23341512,23346736,7,"23340959,23341946,23342519,23344263,23344563,23345897,23346148,","23341546,23341991,23342655,23344454,23345581,23346027,23347291,",Q7Z4F1,uc001whd.3,20904,uc001whd.3,NM_014045,Q7Z4F1,LRP10_HUMAN,LRP10,NM_014045,NP_054764,"Homo sapiens low density lipoprotein receptor-related protein 10 (LRP10), mRNA.",,
