,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,16,G2836.2,-13,16,IonXpress_SFPQ_N
1,169,G2837.1,122,44,IonXpress_SFPQ_N
2,363,G2838.1,313,78,IonXpress_SFPQ_N
3,526,G2839.1,518,17,IonXpress_SFPQ_N
4,559,G2839.2,536,38,IonXpress_SFPQ_N
5,827,G2840.1,810,36,IonXpress_SFPQ_N
6,858,G2840.2,837,48,IonXpress_SFPQ_N
7,1099,G2840.3,1054,182,IonXpress_SFPQ_N
8,1493,G2842.1,1474,25,IonXpress_SFPQ_N
9,1539,G2842.2,1523,109,IonXpress_SFPQ_N
10,2039,G2844.1,2003,11,IonXpress_SFPQ_N
11,2210,G2845.1,2167,8,IonXpress_SFPQ_N
12,2881,G2847.1,2862,15,IonXpress_SFPQ_N
13,2933,G2847.2,2903,102,IonXpress_SFPQ_N
14,3139,G2848.1,3118,49,IonXpress_SFPQ_N
15,3195,G2848.2,3153,29,IonXpress_SFPQ_N
16,3465,G2849.1,3441,178,IonXpress_SFPQ_N
17,3500,G2849.2,3481,153,IonXpress_SFPQ_N
18,3631,G2850.1,3614,18,IonXpress_SFPQ_N
19,3654,G2850.2,3635,13,IonXpress_SFPQ_N
20,3692,G2850.3,3656,15,IonXpress_SFPQ_N
21,3831,G2851.1,3810,10,IonXpress_SFPQ_N
22,3892,G2851.2,3871,51,IonXpress_SFPQ_N
23,4240,G2853.1,4195,89,IonXpress_SFPQ_N
24,4291,G2854.1,4268,32,IonXpress_SFPQ_N
25,4528,G2856.1,4505,29,IonXpress_SFPQ_N
26,4618,G2857.1,4592,3,IonXpress_SFPQ_N
27,4650,G2857.2,4631,48,IonXpress_SFPQ_N
28,4802,G2857.3,4742,208,IonXpress_SFPQ_N
29,5145,G2858.1,5102,24,IonXpress_SFPQ_N
30,5857,G2861.1,5822,22,IonXpress_SFPQ_N
31,6225,G2862.1,6194,11,IonXpress_SFPQ_N
32,6304,G2862.2,6271,24,IonXpress_SFPQ_N
33,7105,G2863.1,7079,16,IonXpress_SFPQ_N
34,7211,G2864.1,7185,52,IonXpress_SFPQ_N
35,3370,G2870.1,3346,29,IonXpress_SFPQ_N
36,5166,G2874.1,5144,14,IonXpress_SFPQ_N
37,5192,G2874.2,5173,7,IonXpress_SFPQ_N
38,5467,G2875.1,5456,15,IonXpress_SFPQ_N
39,5561,G2875.2,5514,42,IonXpress_SFPQ_N
40,7157,G2881.1,7131,53,IonXpress_SFPQ_N
41,21,G2465.2,-2,19,IonXpress_NONO_N
42,60,G2465.3,48,18,IonXpress_NONO_N
43,1105,G2467.1,1085,24,IonXpress_NONO_N
44,2898,G2469.1,2861,112,IonXpress_NONO_N
45,2927,G2469.2,2907,20,IonXpress_NONO_N
46,2977,G2469.3,2954,3,IonXpress_NONO_N
47,3155,G2470.1,3118,14,IonXpress_NONO_N
48,3561,G2472.1,3523,24,IonXpress_NONO_N
49,3715,G2473.1,3692,20,IonXpress_NONO_N
50,3835,G2473.2,3811,18,IonXpress_NONO_N
51,4237,G2474.1,4198,38,IonXpress_NONO_N
52,4622,G2475.1,4603,19,IonXpress_NONO_N
53,4664,G2475.2,4633,123,IonXpress_NONO_N
54,4739,G2476.1,4714,26,IonXpress_NONO_N
55,4814,G2476.2,4799,2,IonXpress_NONO_N
56,1561,G2482.1,1537,81,IonXpress_NONO_N
57,1586,G2482.2,1567,50,IonXpress_NONO_N
58,2645,G2483.1,2612,24,IonXpress_NONO_N
59,4225,G2485.1,4196,38,IonXpress_NONO_N
60,4248,G2485.2,4226,15,IonXpress_NONO_N
61,4297,G2485.3,4278,6,IonXpress_NONO_N
62,4585,G2486.1,4554,37,IonXpress_NONO_N
63,5086,G2487.1,5068,13,IonXpress_NONO_N
64,5182,G2487.2,5157,19,IonXpress_NONO_N
65,5321,G2488.1,5287,38,IonXpress_NONO_N
66,5482,G2489.1,5464,7,IonXpress_NONO_N
67,5517,G2489.2,5498,9,IonXpress_NONO_N
68,5795,G2490.1,5761,12,IonXpress_NONO_N
69,5820,G2490.2,5798,20,IonXpress_NONO_N
70,6155,G2492.1,6119,5,IonXpress_NONO_N
71,6756,G2493.1,6728,18,IonXpress_NONO_N
72,7088,G2494.1,7078,4,IonXpress_NONO_N
73,7150,G2494.2,7118,27,IonXpress_NONO_N
