,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,173833213,175.0,173833038,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173833213,,173833213,,Splice Junction ,1
1,Intron in a ncRNA,173833393,180.0,173833213,1.0,Intron,1
1,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173833394,,173833393,,Splice Junction ,2
2,Exon in a ncRNA,173834420,1026.0,173833394,2.0,Exon,2
2,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173834420,,173834420,,Splice Junction ,3
3,Intron in a ncRNA,173834607,187.0,173834420,2.0,Intron,2
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173834608,,173834607,,Splice Junction ,4
4,Exon in a ncRNA,173834685,77.0,173834608,3.0,Exon,3
4,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173834685,,173834685,,Splice Junction ,5
5,Intron in a ncRNA,173834993,308.0,173834685,3.0,Intron,3
5,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173834994,,173834993,,Splice Junction ,6
6,Exon in a ncRNA,173835032,38.0,173834994,4.0,Exon,4
6,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173835032,,173835032,,Splice Junction ,7
7,Intron in a ncRNA,173835313,281.0,173835032,4.0,Intron,4
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173835314,,173835313,,Splice Junction ,8
8,Exon in a ncRNA,173835344,30.0,173835314,5.0,Exon,5
8,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173835344,,173835344,,Splice Junction ,9
9,Intron in a ncRNA,173835664,320.0,173835344,5.0,Intron,5
9,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173835665,,173835664,,Splice Junction ,10
10,Exon in a ncRNA,173835934,269.0,173835665,6.0,Exon,6
10,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173835934,,173835934,,Splice Junction ,11
11,Intron in a ncRNA,173836127,193.0,173835934,6.0,Intron,6
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173836128,,173836127,,Splice Junction ,12
12,Exon in a ncRNA,173836181,53.0,173836128,7.0,Exon,7
12,Splice Junction Exon in a ncRNA to Intron in a ncRNA,173836181,,173836181,,Splice Junction ,13
13,Intron in a ncRNA,173837096,915.0,173836181,7.0,Intron,7
13,Splice Junction Intron in a ncRNA to Exon in a ncRNA,173837097,,173837096,,Splice Junction ,14
14,Exon in a ncRNA,173837125,28.0,173837097,8.0,Exon,8
