,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,192,G1416.1,169,77,IonXpress_SFPQ_N
1,508,G1417.1,480,17,IonXpress_SFPQ_N
2,3367,G1419.1,3345,125,IonXpress_SFPQ_N
3,191,G1197.1,170,28,IonXpress_NONO_N
4,1789,G1198.1,1772,4,IonXpress_NONO_N
5,1837,G1198.2,1794,10,IonXpress_NONO_N
6,1888,G1198.3,1855,24,IonXpress_NONO_N
7,3367,G1199.1,3345,64,IonXpress_NONO_N
8,3907,G1200.1,3893,9,IonXpress_NONO_N
9,3958,G1200.2,3930,32,IonXpress_NONO_N
10,4010,G1200.3,3989,19,IonXpress_NONO_N
11,6843,G1201.1,6822,17,IonXpress_NONO_N
12,6909,G1201.2,6886,11,IonXpress_NONO_N
13,7223,G1202.1,7174,16,IonXpress_NONO_N
