,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,4505,G689.1,4458,41,IonXpress_SFPQ_N
1,7309,G690.1,7282,14,IonXpress_SFPQ_N
2,7365,G690.2,7328,9,IonXpress_SFPQ_N
3,7476,G691.1,7454,16,IonXpress_SFPQ_N
4,7509,G691.2,7497,13,IonXpress_SFPQ_N
5,7560,G692.1,7545,20,IonXpress_SFPQ_N
6,7606,G692.2,7585,64,IonXpress_SFPQ_N
7,7696,G693.1,7662,37,IonXpress_SFPQ_N
8,7310,G630.1,7291,65,IonXpress_NONO_N
9,7584,G631.1,7563,10,IonXpress_NONO_N
10,7621,G631.2,7605,7,IonXpress_NONO_N
11,7683,G631.3,7659,22,IonXpress_NONO_N
