,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,13176,G3024.1,13158,57,MiSeqSFPQc.csv
1,17849,G3031.1,17831,35,MiSeqSFPQc.csv
2,23348,G3034.1,23298,80,MiSeqSFPQc.csv
3,26330,G3035.1,26321,19,MiSeqSFPQc.csv
4,26360,G3035.2,26341,54,MiSeqSFPQc.csv
5,27195,G3037.1,27171,104,MiSeqSFPQc.csv
6,27323,G3038.1,27305,25,MiSeqSFPQc.csv
7,29818,G3042.1,29801,45,MiSeqSFPQc.csv
8,31713,G3046.1,31696,29,MiSeqSFPQc.csv
9,32061,G3048.1,32039,65,MiSeqSFPQc.csv
10,32081,G3048.2,32064,61,MiSeqSFPQc.csv
11,34647,G3050.1,34627,127,MiSeqSFPQc.csv
12,34982,G3051.1,34963,39,MiSeqSFPQc.csv
13,35320,G3053.1,35300,56,MiSeqSFPQc.csv
14,35898,G3056.1,35875,19,MiSeqSFPQc.csv
15,38218,G3059.1,38182,76,MiSeqSFPQc.csv
16,7840,G2422.1,7828,20,MiSeqNONOc.csv
17,12950,G2430.1,12939,109,MiSeqNONOc.csv
18,14368,G2434.1,14342,139,MiSeqNONOc.csv
19,17522,G2438.1,17485,82,MiSeqNONOc.csv
20,17849,G2439.1,17830,48,MiSeqNONOc.csv
21,23348,G2443.1,23313,83,MiSeqNONOc.csv
22,24220,G2444.1,24196,19,MiSeqNONOc.csv
23,26356,G2446.1,26337,46,MiSeqNONOc.csv
24,27196,G2449.1,27163,150,MiSeqNONOc.csv
25,30330,G2457.1,30313,20,MiSeqNONOc.csv
26,30494,G2458.1,30470,42,MiSeqNONOc.csv
27,30875,G2459.1,30841,87,MiSeqNONOc.csv
28,32051,G2462.1,32038,17,MiSeqNONOc.csv
29,34324,G2466.1,34308,42,MiSeqNONOc.csv
30,34649,G2467.1,34633,30,MiSeqNONOc.csv
31,35295,G2469.1,35272,33,MiSeqNONOc.csv
32,35320,G2469.2,35302,21,MiSeqNONOc.csv
33,36977,G2472.1,36954,72,MiSeqNONOc.csv
34,38195,G2475.1,38172,45,MiSeqNONOc.csv
35,38219,G2475.2,38199,51,MiSeqNONOc.csv
36,38244,G2475.3,38223,55,MiSeqNONOc.csv
