,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,7361,G3456.1,7347,49,MiSeqSFPQc.csv
1,8372,G3457.1,8362,27,MiSeqSFPQc.csv
2,11051,G3460.1,11027,336,MiSeqSFPQc.csv
3,11075,G3460.2,11055,223,MiSeqSFPQc.csv
4,11472,G3461.1,11457,38,MiSeqSFPQc.csv
5,169,G2839.1,139,24,MiSeqNONOc.csv
6,2800,G2843.1,2782,45,MiSeqNONOc.csv
7,7078,G2847.1,7051,40,MiSeqNONOc.csv
8,7340,G2848.1,7323,115,MiSeqNONOc.csv
9,7368,G2848.2,7349,94,MiSeqNONOc.csv
10,9968,G2853.1,9939,133,MiSeqNONOc.csv
11,11052,G2854.1,11031,255,MiSeqNONOc.csv
12,11075,G2854.2,11055,250,MiSeqNONOc.csv
13,11102,G2854.3,11078,126,MiSeqNONOc.csv
14,11165,G2854.4,11143,42,MiSeqNONOc.csv
15,11595,G2855.1,11574,79,MiSeqNONOc.csv
