,feature_classification,feature_end,feature_length,feature_start,feature_subtype_index,feature_type,feature_type_index
0,Exon in a ncRNA,99853193,515.0,99852678,1.0,Exon,1
0,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99853193,,99853193,,Splice Junction ,1
1,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99853193,,99853193,,Splice Junction ,2
1,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99853193,,99853193,,Splice Junction ,1
2,Intron in a ncRNA,99883686,30493.0,99853193,1.0,Intron,1
2,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99883686,,99883686,,Splice Junction ,3
3,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99883687,,99883686,,Splice Junction ,2
3,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99883687,,99883687,,Splice Junction ,4
4,Exon in a ncRNA,99883767,80.0,99883687,2.0,Exon,2
4,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99883767,,99883767,,Splice Junction ,5
5,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99883767,,99883767,,Splice Junction ,6
5,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99883767,,99883767,,Splice Junction ,3
6,Intron in a ncRNA,99890679,6912.0,99883767,2.0,Intron,2
6,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99890679,,99890679,,Splice Junction ,7
7,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99890680,,99890679,,Splice Junction ,4
7,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99890680,,99890680,,Splice Junction ,8
8,Exon in a ncRNA,99890808,128.0,99890680,3.0,Exon,3
8,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99890808,,99890808,,Splice Junction ,9
9,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99890808,,99890808,,Splice Junction ,10
9,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99890808,,99890808,,Splice Junction ,5
10,Intron in a ncRNA,99896167,5359.0,99890808,3.0,Intron,3
10,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99896167,,99896167,,Splice Junction ,11
11,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99896168,,99896167,,Splice Junction ,6
11,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99896168,,99896168,,Splice Junction ,12
12,Exon in a ncRNA,99896205,37.0,99896168,4.0,Exon,4
12,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99896205,,99896205,,Splice Junction ,13
13,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99896205,,99896205,,Splice Junction ,14
13,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99896205,,99896205,,Splice Junction ,7
14,Intron in a ncRNA,99896767,562.0,99896205,4.0,Intron,4
14,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99896767,,99896767,,Splice Junction ,15
15,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99896768,,99896767,,Splice Junction ,8
15,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99896768,,99896768,,Splice Junction ,16
16,Exon in a ncRNA,99896878,110.0,99896768,5.0,Exon,5
16,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99896878,,99896878,,Splice Junction ,17
17,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99896878,,99896878,,Splice Junction ,18
17,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99896878,,99896878,,Splice Junction ,9
18,Intron in a ncRNA,99970274,73396.0,99896878,5.0,Intron,5
18,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99970274,,99970274,,Splice Junction ,19
19,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99970275,,99970274,,Splice Junction ,10
19,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99970275,,99970275,,Splice Junction ,20
20,Exon in a ncRNA,99970323,48.0,99970275,6.0,Exon,6
20,Splice Junction Exon in a ncRNA to Splice Junction Exon in a ncRNA to Intron in a ncRNA,99970323,,99970323,,Splice Junction ,21
21,Splice Junction Splice Junction Exon in a ncRNA to Intron in a ncRNA to Intron in a ncRNA,99970323,,99970323,,Splice Junction ,22
21,Splice Junction Exon in a ncRNA to Intron in a ncRNA,99970323,,99970323,,Splice Junction ,11
22,Intron in a ncRNA,99992687,22364.0,99970323,6.0,Intron,6
22,Splice Junction Intron in a ncRNA to Splice Junction Intron in a ncRNA to Exon in a ncRNA,99992687,,99992687,,Splice Junction ,23
23,Splice Junction Intron in a ncRNA to Exon in a ncRNA,99992688,,99992687,,Splice Junction ,12
23,Splice Junction Splice Junction Intron in a ncRNA to Exon in a ncRNA to Exon in a ncRNA,99992688,,99992688,,Splice Junction ,24
