,feature_end,feature_start,feature_type
0,24712078,24712063,5'-UTR
1,25015102,25014067,3'-UTR
2,24712103,24712063,Exon
3,24717666,24717541,Exon
4,24721464,24721367,Exon
5,24722586,24722505,Exon
6,24732786,24732670,Exon
7,24733320,24733257,Exon
8,24734571,24734478,Exon
9,24735088,24735000,Exon
10,24735608,24735406,Exon
11,24735875,24735696,Exon
12,24741384,24741271,Exon
13,24742568,24742451,Exon
14,24744172,24744097,Exon
15,24745188,24745049,Exon
16,24746053,24745898,Exon
17,24750571,24750486,Exon
18,24751933,24751871,Exon
19,24753605,24753515,Exon
20,24755858,24755741,Exon
21,24757667,24757491,Exon
22,24759621,24759491,Exon
23,24760238,24760118,Exon
24,24761446,24761346,Exon
25,24763659,24763534,Exon
26,24766577,24766427,Exon
27,24767109,24766986,Exon
28,24828047,24828014,Exon
29,24828917,24828824,Exon
30,24830980,24830774,Exon
31,24833228,24833095,Exon
32,24839700,24839568,Exon
33,24844718,24844543,Exon
34,24859947,24859768,Exon
35,24861794,24861662,Exon
36,24906239,24906122,Exon
37,24948666,24948569,Exon
38,25015102,25013921,Exon
