,feature_end,feature_start,feature_type
0,64510468,64510224,5'-UTR
1,64769779,64625290,3'-UTR
2,64510759,64510224,Exon
3,64511314,64511150,Exon
4,64520227,64520146,Exon
5,64520874,64520750,Exon
6,64522046,64521912,Exon
7,64538033,64537930,Exon
8,64556490,64556426,Exon
9,64558789,64558643,Exon
10,64569274,64569166,Exon
11,64587297,64587155,Exon
12,64595958,64595811,Exon
13,64625310,64625204,Exon
14,64629912,64629868,Exon
15,64747447,64747301,Exon
16,64748048,64747959,Exon
17,64748745,64748533,Exon
18,64756165,64755996,Exon
19,64766969,64766604,Exon
20,64769779,64769403,Exon
