,feature_end,feature_start,feature_type
0,33922501,33921690,5'-UTR
1,34048885,33998847,3'-UTR
2,33922597,33921690,Exon
3,33922876,33922684,Exon
4,33923031,33922963,Exon
5,33923291,33923183,Exon
6,33923476,33923376,Exon
7,33923998,33923792,Exon
8,33924282,33924203,Exon
9,33926662,33926614,Exon
10,33927078,33926986,Exon
11,33927990,33927794,Exon
12,33932626,33932559,Exon
13,33933626,33933487,Exon
14,33935876,33935836,Exon
15,33941860,33941646,Exon
16,33943587,33943417,Exon
17,33944637,33944362,Exon
18,33948585,33948371,Exon
19,33953472,33953282,Exon
20,33956144,33956076,Exon
21,33998862,33998784,Exon
22,34011662,34011624,Exon
23,34017187,34017047,Exon
24,34048885,34048822,Exon
