,feature_end,feature_start,feature_type
0,20522218,20522178,5'-UTR
1,20837041,20833205,3'-UTR
2,20523178,20522178,Exon
3,20709644,20709593,Exon
4,20766634,20766376,Exon
5,20769318,20769163,Exon
6,20774345,20774229,Exon
7,20783061,20782841,Exon
8,20786712,20786626,Exon
9,20787990,20787835,Exon
10,20790171,20790033,Exon
11,20792891,20792779,Exon
12,20799537,20799423,Exon
13,20799884,20799684,Exon
14,20801825,20801621,Exon
15,20803534,20803378,Exon
16,20807139,20806880,Exon
17,20837041,20832963,Exon
