,feature_end,feature_start,feature_type
0,30889720,30886540,5'-UTR
1,30894235,30893987,3'-UTR
2,30887625,30886540,Exon
3,30887993,30887865,Exon
4,30888213,30888109,Exon
5,30888526,30888444,Exon
6,30888918,30888841,Exon
7,30889082,30889006,Exon
8,30889468,30889365,Exon
9,30889772,30889701,Exon
10,30890018,30889892,Exon
11,30890331,30890158,Exon
12,30890551,30890482,Exon
13,30890753,30890674,Exon
14,30891008,30890880,Exon
15,30891282,30891129,Exon
16,30892337,30892130,Exon
17,30893162,30893050,Exon
18,30893496,30893320,Exon
19,30893785,30893656,Exon
20,30894235,30893885,Exon
