,feature_end,feature_start,feature_type
0,46765572,46765083,5'-UTR
1,46867859,46842782,3'-UTR
2,46765815,46765083,Exon
3,46766127,46765975,Exon
4,46771983,46771823,Exon
5,46772161,46772077,Exon
6,46772805,46772667,Exon
7,46773084,46772895,Exon
8,46774260,46774184,Exon
9,46775047,46774859,Exon
10,46780593,46780472,Exon
11,46780992,46780818,Exon
12,46782334,46782161,Exon
13,46783743,46783549,Exon
14,46784312,46784176,Exon
15,46784729,46784525,Exon
16,46785180,46785030,Exon
17,46786806,46786680,Exon
18,46789213,46789124,Exon
19,46791648,46791512,Exon
20,46792532,46792337,Exon
21,46797933,46797804,Exon
22,46799102,46798988,Exon
23,46799863,46799688,Exon
24,46800149,46800009,Exon
25,46801869,46801743,Exon
26,46802035,46801977,Exon
27,46804918,46804823,Exon
28,46806223,46806037,Exon
29,46810323,46810230,Exon
30,46811736,46811625,Exon
31,46812133,46812019,Exon
32,46817326,46817143,Exon
33,46818490,46818361,Exon
34,46819519,46819354,Exon
35,46819722,46819632,Exon
36,46822854,46822749,Exon
37,46829694,46829580,Exon
38,46831050,46830949,Exon
39,46831424,46831291,Exon
40,46832728,46832556,Exon
41,46837955,46837748,Exon
42,46840054,46839860,Exon
43,46842819,46842725,Exon
44,46867859,46867770,Exon
