,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,314,G194.1,277,479,IonXpress_NONO_c
1,537,G195.1,515,869,IonXpress_NONO_c
2,1000,G196.1,973,343,IonXpress_NONO_c
3,1485,G197.1,1450,128,IonXpress_NONO_c
4,1524,G197.2,1491,245,IonXpress_NONO_c
5,2128,G199.1,2106,288,IonXpress_NONO_c
6,2462,G200.1,2437,197,IonXpress_NONO_c
7,2768,G201.1,2739,321,IonXpress_NONO_c
8,2806,G201.2,2777,86,IonXpress_NONO_c
9,319,G285.1,296,6383,IonXpress_SFPQt1
10,546,G286.1,526,3119,IonXpress_SFPQt1
11,975,G287.1,957,1582,IonXpress_SFPQt1
12,1005,G287.2,983,3321,IonXpress_SFPQt1
13,1486,G288.1,1461,147,IonXpress_SFPQt1
14,1527,G288.2,1507,454,IonXpress_SFPQt1
15,1783,G289.1,1760,242,IonXpress_SFPQt1
16,2089,G290.1,2072,212,IonXpress_SFPQt1
17,2124,G290.2,2101,797,IonXpress_SFPQt1
18,2466,G291.1,2436,519,IonXpress_SFPQt1
19,2799,G292.1,2759,645,IonXpress_SFPQt1
