,feature_end,feature_start,feature_type
0,230203027,230202955,5'-UTR
1,230417875,230415204,3'-UTR
2,230203153,230202955,Exon
3,230314057,230313963,Exon
4,230339036,230338882,Exon
5,230371858,230371759,Exon
6,230372166,230372098,Exon
7,230372471,230372405,Exon
8,230379173,230379051,Exon
9,230381896,230381808,Exon
10,230385017,230384929,Exon
11,230386306,230386202,Exon
12,230391090,230390963,Exon
13,230398411,230398318,Exon
14,230398751,230398667,Exon
15,230401113,230400986,Exon
16,230410310,230410190,Exon
17,230417875,230415048,Exon
