,ClusterEnd,ClusterID,ClusterStart,ConversionEventCount,Dataset
0,3036,G456.1,3000,117,IonXpress_NONO_c
1,3070,G456.2,3052,1221,IonXpress_NONO_c
2,3136,G456.3,3105,86,IonXpress_NONO_c
3,3160,G456.4,3148,31,IonXpress_NONO_c
4,3189,G456.5,3166,52,IonXpress_NONO_c
5,3371,G457.1,3356,218,IonXpress_NONO_c
6,3582,G457.2,3527,79,IonXpress_NONO_c
7,3996,G459.1,3974,175,IonXpress_NONO_c
8,4148,G459.2,4130,35,IonXpress_NONO_c
9,4349,G460.1,4326,56,IonXpress_NONO_c
10,4477,G460.2,4434,267,IonXpress_NONO_c
11,4556,G460.3,4533,371,IonXpress_NONO_c
12,4615,G460.4,4593,77,IonXpress_NONO_c
13,4708,G461.1,4690,113,IonXpress_NONO_c
14,4756,G461.2,4732,198,IonXpress_NONO_c
15,4875,G461.3,4863,42,IonXpress_NONO_c
16,4913,G461.4,4887,163,IonXpress_NONO_c
17,4969,G461.5,4947,60,IonXpress_NONO_c
18,5012,G461.6,4979,203,IonXpress_NONO_c
19,5062,G461.7,5026,80,IonXpress_NONO_c
20,5263,G462.1,5241,53,IonXpress_NONO_c
21,5852,G464.1,5826,463,IonXpress_NONO_c
22,5920,G464.2,5887,437,IonXpress_NONO_c
23,5969,G464.3,5956,44,IonXpress_NONO_c
24,6004,G464.4,5977,99,IonXpress_NONO_c
25,6107,G464.5,6049,210,IonXpress_NONO_c
26,6144,G464.6,6112,58,IonXpress_NONO_c
27,6191,G464.7,6165,190,IonXpress_NONO_c
28,6247,G464.8,6228,244,IonXpress_NONO_c
29,6307,G464.9,6289,71,IonXpress_NONO_c
30,6516,G466.1,6488,172,IonXpress_NONO_c
31,6669,G467.1,6648,52,IonXpress_NONO_c
32,6833,G467.2,6811,75,IonXpress_NONO_c
33,6927,G467.3,6900,43,IonXpress_NONO_c
34,7158,G468.1,7131,100,IonXpress_NONO_c
35,8051,G470.1,8012,234,IonXpress_NONO_c
36,8194,G470.2,8163,113,IonXpress_NONO_c
37,3070,G507.1,3051,228,IonXpress_SFPQt1
38,3993,G510.1,3958,54,IonXpress_SFPQt1
39,5018,G516.1,4990,59,IonXpress_SFPQt1
40,5663,G519.1,5651,111,IonXpress_SFPQt1
41,5852,G520.1,5823,242,IonXpress_SFPQt1
42,5878,G520.2,5859,98,IonXpress_SFPQt1
43,7150,G525.1,7119,74,IonXpress_SFPQt1
