,feature_end,feature_start,feature_type
0,129739388,129739388,5'-UTR
1,129765490,129762744,3'-UTR
2,129740156,129739388,Exon
3,129742991,129742778,Exon
4,129743910,129743639,Exon
5,129744228,129744007,Exon
6,129744475,129744395,Exon
7,129744811,129744687,Exon
8,129745358,129745251,Exon
9,129746790,129746615,Exon
10,129747280,129747219,Exon
11,129748246,129748205,Exon
12,129748438,129748358,Exon
13,129751403,129751337,Exon
14,129751748,129751621,Exon
15,129752089,129751980,Exon
16,129752526,129752345,Exon
17,129753101,129753016,Exon
18,129754038,129753964,Exon
19,129754777,129754639,Exon
20,129755504,129755329,Exon
21,129756339,129756211,Exon
22,129758690,129758488,Exon
23,129762765,129762609,Exon
24,129764333,129764253,Exon
25,129765490,129765390,Exon
