,feature_end,feature_start,feature_type
0,134305531,134305476,5'-UTR
1,134375575,134371261,3'-UTR
2,134305646,134305476,Exon
3,134308181,134308003,Exon
4,134312109,134312006,Exon
5,134314448,134314375,Exon
6,134319715,134319571,Exon
7,134322029,134321787,Exon
8,134322593,134322471,Exon
9,134323191,134323048,Exon
10,134330553,134330462,Exon
11,134334743,134334550,Exon
12,134340465,134340149,Exon
13,134343140,134342949,Exon
14,134346370,134346174,Exon
15,134349111,134348894,Exon
16,134351922,134349840,Exon
17,134353336,134353130,Exon
18,134354006,134353860,Exon
19,134354780,134354638,Exon
20,134357195,134357112,Exon
21,134357949,134357757,Exon
22,134358294,134358096,Exon
23,134358832,134358745,Exon
24,134360177,134360072,Exon
25,134360527,134360334,Exon
26,134361569,134361471,Exon
27,134362681,134362553,Exon
28,134363483,134363242,Exon
29,134366967,134366811,Exon
30,134367647,134367555,Exon
31,134369873,134369791,Exon
32,134375575,134371126,Exon
