,feature_end,feature_start,feature_type
0,33927878,33927794,5'-UTR
1,34048947,34017143,3'-UTR
2,33927990,33927794,Exon
3,33933626,33933487,Exon
4,33935876,33935836,Exon
5,33941860,33941646,Exon
6,33943587,33943417,Exon
7,33944637,33944362,Exon
8,33948585,33948371,Exon
9,33953472,33953282,Exon
10,33956144,33956076,Exon
11,33960876,33960823,Exon
12,33963789,33963723,Exon
13,33986835,33986757,Exon
14,33989124,33988970,Exon
15,33996331,33996220,Exon
16,33998862,33998784,Exon
17,34017187,34017047,Exon
18,34048947,34048875,Exon
