,feature_end,feature_start,feature_type
0,33933489,33933487,5'-UTR
1,34048885,33998847,3'-UTR
2,33933626,33933487,Exon
3,33935876,33935836,Exon
4,33941860,33941646,Exon
5,33943587,33943417,Exon
6,33944637,33944362,Exon
7,33948585,33948371,Exon
8,33953472,33953282,Exon
9,33956144,33956076,Exon
10,33960876,33960823,Exon
11,33963789,33963723,Exon
12,33986835,33986757,Exon
13,33989124,33988970,Exon
14,33998862,33998784,Exon
15,34011662,34011624,Exon
16,34017187,34017047,Exon
17,34048885,34048822,Exon
