,feature_end,feature_start,feature_type
0,16707819,16614992,Untranslated Transcript
1,16615129,16614992,Exon
2,16623545,16623511,Exon
3,16623972,16623830,Exon
4,16631054,16630840,Exon
5,16635297,16635113,Exon
6,16635980,16635851,Exon
7,16638957,16638003,Exon
8,16665032,16664738,Exon
9,16665847,16665626,Exon
10,16667489,16667278,Exon
11,16675333,16675290,Exon
12,16677596,16676810,Exon
13,16687047,16686936,Exon
14,16687794,16687736,Exon
15,16690436,16690261,Exon
16,16691449,16691248,Exon
17,16699548,16699356,Exon
18,16701844,16701555,Exon
19,16703685,16703264,Exon
20,16704442,16704349,Exon
21,16707819,16705572,Exon
