,feature_end,feature_start,feature_type
0,70482261,70480970,5'-UTR
1,70548085,70548084,3'-UTR
2,70481039,70480970,Exon
3,70482334,70482211,Exon
4,70496805,70496632,Exon
5,70500418,70500385,Exon
6,70502326,70502132,Exon
7,70507032,70506917,Exon
8,70507323,70507130,Exon
9,70509022,70508892,Exon
10,70509442,70509280,Exon
11,70513834,70513608,Exon
12,70514584,70514470,Exon
13,70515293,70515126,Exon
14,70516240,70516029,Exon
15,70517134,70517050,Exon
16,70520949,70520763,Exon
17,70525836,70525644,Exon
18,70531202,70530962,Exon
19,70532856,70532744,Exon
20,70545975,70545892,Exon
21,70546449,70546302,Exon
22,70547804,70547683,Exon
23,70548085,70547899,Exon
