,feature_end,feature_start,feature_type
0,76823681,76781025,Untranslated Transcript
1,76782073,76781025,Exon
2,76785680,76785592,Exon
3,76787671,76787341,Exon
4,76788572,76788465,Exon
5,76793320,76793177,Exon
6,76794465,76794279,Exon
7,76797826,76797439,Exon
8,76803138,76802483,Exon
9,76804228,76804078,Exon
10,76804355,76804318,Exon
11,76805913,76805746,Exon
12,76808051,76808004,Exon
13,76809484,76809366,Exon
14,76811285,76811109,Exon
15,76812858,76812800,Exon
16,76813131,76813003,Exon
17,76817557,76817423,Exon
18,76823681,76823382,Exon
