,feature_end,feature_start,feature_type
0,122363756,122095351,Untranslated Transcript
1,122098523,122095351,Exon
2,122104730,122104613,Exon
3,122106294,122106087,Exon
4,122120876,122120747,Exon
5,122122860,122122669,Exon
6,122125407,122125163,Exon
7,122135225,122135074,Exon
8,122144804,122144697,Exon
9,122145482,122145338,Exon
10,122154859,122154715,Exon
11,122155976,122155897,Exon
12,122159248,122159084,Exon
13,122162010,122161942,Exon
14,122165291,122165046,Exon
15,122168545,122168441,Exon
16,122182882,122182714,Exon
17,122185006,122184979,Exon
18,122187753,122187648,Exon
19,122205083,122204912,Exon
20,122205901,122205851,Exon
21,122206696,122206528,Exon
22,122208566,122208488,Exon
23,122209425,122209365,Exon
24,122215333,122215262,Exon
25,122216551,122216415,Exon
26,122217701,122217555,Exon
27,122218769,122218676,Exon
28,122220181,122220107,Exon
29,122227536,122227383,Exon
30,122260810,122260742,Exon
31,122273338,122273240,Exon
32,122283496,122283420,Exon
33,122285466,122285374,Exon
34,122286356,122286252,Exon
35,122287901,122287822,Exon
36,122363756,122363276,Exon
