,feature_end,feature_start,feature_type
0,144158389,144146810,5'-UTR
1,146467744,146466121,3'-UTR
2,144147021,144146810,Exon
3,144148892,144148789,Exon
4,144149941,144149726,Exon
5,144151054,144150981,Exon
6,144151724,144151518,Exon
7,144153064,144153012,Exon
8,144157135,144156971,Exon
9,144158252,144158177,Exon
10,144158391,144158378,Exon
11,144159043,144158870,Exon
12,144164570,144164518,Exon
13,144179646,144179473,Exon
14,144180407,144180355,Exon
15,144181236,144181063,Exon
16,144182059,144181950,Exon
17,144182868,144182695,Exon
18,144183639,144183587,Exon
19,144184424,144184251,Exon
20,144185185,144185133,Exon
21,144186000,144185827,Exon
22,144186823,144186714,Exon
23,144187632,144187459,Exon
24,144188403,144188351,Exon
25,144189184,144189011,Exon
26,144189945,144189893,Exon
27,144190754,144190581,Exon
28,144191577,144191468,Exon
29,144192378,144192205,Exon
30,144193149,144193097,Exon
31,144193932,144193759,Exon
32,144194693,144194641,Exon
33,144195516,144195343,Exon
34,144196339,144196230,Exon
35,144197148,144196975,Exon
36,144197919,144197867,Exon
37,144201877,144201704,Exon
38,144202638,144202586,Exon
39,144203471,144203298,Exon
40,144204294,144204185,Exon
41,144205097,144204924,Exon
42,144205868,144205816,Exon
43,144216200,144216027,Exon
44,144216961,144216909,Exon
45,144217784,144217611,Exon
46,144218607,144218498,Exon
47,144219408,144219235,Exon
48,144220179,144220127,Exon
49,144220959,144220786,Exon
50,144221720,144221668,Exon
51,144222551,144222378,Exon
52,144223374,144223265,Exon
53,144224175,144224002,Exon
54,144824756,144824704,Exon
55,145313506,145313333,Exon
56,145314267,145314215,Exon
57,145315076,145314903,Exon
58,145315899,145315790,Exon
59,145316684,145316511,Exon
60,145317457,145317405,Exon
61,145318226,145318053,Exon
62,145318987,145318935,Exon
63,145319796,145319623,Exon
64,145320619,145320510,Exon
65,145330855,145330682,Exon
66,145331626,145331574,Exon
67,145332395,145332222,Exon
68,145333156,145333104,Exon
69,145333969,145333796,Exon
70,145334792,145334683,Exon
71,145335561,145335388,Exon
72,145336332,145336280,Exon
73,145337101,145336928,Exon
74,145337862,145337810,Exon
75,145338689,145338516,Exon
76,145339512,145339403,Exon
77,145340281,145340108,Exon
78,145341052,145341000,Exon
79,145341821,145341648,Exon
80,145342582,145342530,Exon
81,145343413,145343240,Exon
82,145344236,145344127,Exon
83,145345005,145344832,Exon
84,145345776,145345724,Exon
85,145346545,145346372,Exon
86,145347306,145347254,Exon
87,145348137,145347964,Exon
88,145348960,145348851,Exon
89,145349735,145349562,Exon
90,145350506,145350454,Exon
91,145351275,145351102,Exon
92,145352036,145351984,Exon
93,145352857,145352684,Exon
94,145353680,145353571,Exon
95,145354467,145354294,Exon
96,145355238,145355186,Exon
97,145356009,145355836,Exon
98,145363030,145362978,Exon
99,145363851,145363678,Exon
100,145364674,145364565,Exon
101,146420191,146420018,Exon
102,146420962,146420910,Exon
103,146421731,146421558,Exon
104,146422492,146422440,Exon
105,146423335,146423162,Exon
106,146424158,146424049,Exon
107,146424956,146424783,Exon
108,146425727,146425675,Exon
109,146426496,146426323,Exon
110,146427257,146427205,Exon
111,146428100,146427927,Exon
112,146428923,146428814,Exon
113,146436026,146435853,Exon
114,146436787,146436735,Exon
115,146437630,146437457,Exon
116,146438453,146438344,Exon
117,146443865,146443692,Exon
118,146444626,146444574,Exon
119,146445388,146445298,Exon
120,146446834,146446833,Exon
121,146447006,146446924,Exon
122,146447777,146447725,Exon
123,146448546,146448373,Exon
124,146454071,146454019,Exon
125,146454910,146454737,Exon
126,146455733,146455624,Exon
127,146456531,146456358,Exon
128,146462062,146462010,Exon
129,146462830,146462657,Exon
130,146463591,146463539,Exon
131,146464436,146464263,Exon
132,146465259,146465150,Exon
133,146467744,146465877,Exon
