,feature_end,feature_start,feature_type
0,159477774,159433782,5'-UTR
1,159537940,159537189,3'-UTR
2,159433895,159433782,Exon
3,159459616,159459581,Exon
4,159477627,159477501,Exon
5,159477933,159477742,Exon
6,159481939,159481389,Exon
7,159488453,159488264,Exon
8,159490801,159490581,Exon
9,159497271,159497138,Exon
10,159499211,159498997,Exon
11,159514826,159514642,Exon
12,159517962,159517844,Exon
13,159519600,159519408,Exon
14,159519957,159519783,Exon
15,159523075,159522924,Exon
16,159526427,159526231,Exon
17,159530273,159530188,Exon
18,159530512,159530394,Exon
19,159535166,159535092,Exon
20,159537940,159536940,Exon
