,feature_end,feature_start,feature_type
0,237205821,237205701,5'-UTR
1,237997288,237995947,3'-UTR
2,237205869,237205701,Exon
3,237433916,237433796,Exon
4,237494282,237494177,Exon
5,237519285,237519264,Exon
6,237527672,237527657,Exon
7,237532908,237532833,Exon
8,237538095,237538016,Exon
9,237540735,237540622,Exon
10,237550680,237550580,Exon
11,237551483,237551386,Exon
12,237580423,237580348,Exon
13,237586548,237586391,Exon
14,237604783,237604618,Exon
15,237608822,237608700,Exon
16,237617874,237617690,Exon
17,237620035,237619899,Exon
18,237632487,237632391,Exon
19,237655224,237655105,Exon
20,237656387,237656253,Exon
21,237660052,237659810,Exon
22,237664203,237664010,Exon
23,237666805,237666588,Exon
24,237670114,237670009,Exon
25,237675091,237674987,Exon
26,237693810,237693726,Exon
27,237711890,237711730,Exon
28,237713991,237713843,Exon
29,237730075,237729866,Exon
30,237732619,237732444,Exon
31,237753301,237753092,Exon
32,237754292,237753939,Exon
33,237755153,237755038,Exon
34,237756936,237756775,Exon
35,237758957,237758797,Exon
36,237765411,237765324,Exon
37,237774288,237774061,Exon
38,237778143,237777338,Exon
39,237780786,237780585,Exon
40,237787170,237787064,Exon
41,237789104,237788960,Exon
42,237791380,237791106,Exon
43,237794841,237794726,Exon
44,237797010,237796877,Exon
45,237798292,237798188,Exon
46,237801792,237801656,Exon
47,237802501,237802314,Exon
48,237804302,237804196,Exon
49,237806747,237806626,Exon
50,237811913,237811743,Exon
51,237813397,237813176,Exon
52,237814801,237814710,Exon
53,237817714,237817573,Exon
54,237819284,237819120,Exon
55,237821322,237821243,Exon
56,237823374,237823284,Exon
57,237824247,237824109,Exon
58,237829889,237829811,Exon
59,237831258,237831182,Exon
60,237837519,237837395,Exon
61,237838146,237838030,Exon
62,237841412,237841347,Exon
63,237843877,237843755,Exon
64,237850804,237850754,Exon
65,237862325,237862264,Exon
66,237863767,237863528,Exon
67,237865359,237865277,Exon
68,237868643,237868512,Exon
69,237870569,237870248,Exon
70,237872398,237872157,Exon
71,237872867,237872779,Exon
72,237875137,237875044,Exon
73,237880668,237880497,Exon
74,237881821,237881761,Exon
75,237886562,237886427,Exon
76,237889608,237889572,Exon
77,237890499,237890386,Exon
78,237893656,237893559,Exon
79,237895449,237895345,Exon
80,237897056,237897004,Exon
81,237905649,237905595,Exon
82,237919687,237919587,Exon
83,237921076,237920996,Exon
84,237923152,237923075,Exon
85,237924328,237924254,Exon
86,237934187,237934106,Exon
87,237935400,237935311,Exon
88,237936948,237936819,Exon
89,237942070,237941965,Exon
90,237944946,237944864,Exon
91,237948272,237946974,Exon
92,237949336,237949268,Exon
93,237951435,237951287,Exon
94,237954815,237954728,Exon
95,237955623,237955404,Exon
96,237957297,237957166,Exon
97,237958631,237958588,Exon
98,237961470,237961336,Exon
99,237965216,237965155,Exon
100,237969583,237969436,Exon
101,237972335,237972200,Exon
102,237982492,237982335,Exon
103,237991745,237991680,Exon
104,237993930,237993829,Exon
105,237994865,237994813,Exon
106,237997288,237995851,Exon
