,feature_end,feature_start,feature_type
0,50033027,50033026,5'-UTR
1,50319539,50319471,3'-UTR
2,50033049,50033026,Exon
3,50251431,50251354,Exon
4,50251722,50251642,Exon
5,50251853,50251809,Exon
6,50252038,50251937,Exon
7,50253468,50253435,Exon
8,50256061,50255863,Exon
9,50256291,50256213,Exon
10,50262662,50262508,Exon
11,50266242,50266192,Exon
12,50266396,50266353,Exon
13,50267414,50267137,Exon
14,50269291,50269170,Exon
15,50269445,50269386,Exon
16,50270012,50269954,Exon
17,50272851,50272738,Exon
18,50280768,50280705,Exon
19,50281575,50281471,Exon
20,50292673,50292584,Exon
21,50295072,50295008,Exon
22,50295525,50295333,Exon
23,50295980,50295771,Exon
24,50296144,50296066,Exon
25,50298079,50298016,Exon
26,50298844,50298768,Exon
27,50298995,50298924,Exon
28,50300214,50300140,Exon
29,50301167,50301080,Exon
30,50304924,50304856,Exon
31,50307584,50307435,Exon
32,50312983,50312857,Exon
33,50318383,50318280,Exon
34,50318593,50318524,Exon
35,50319539,50319412,Exon
