,feature_end,feature_start,feature_type
0,129734619,129733669,5'-UTR
1,129765490,129763239,3'-UTR
2,129734745,129733669,Exon
3,129734996,129734860,Exon
4,129735878,129735771,Exon
5,129740156,129739388,Exon
6,129742991,129742778,Exon
7,129743910,129743639,Exon
8,129744228,129744007,Exon
9,129744475,129744395,Exon
10,129744811,129744687,Exon
11,129745358,129745251,Exon
12,129746790,129746615,Exon
13,129747280,129747219,Exon
14,129748250,129748203,Exon
15,129748438,129748358,Exon
16,129751403,129751337,Exon
17,129751748,129751621,Exon
18,129752089,129751980,Exon
19,129752526,129752345,Exon
20,129753101,129753016,Exon
21,129754038,129753964,Exon
22,129754741,129754639,Exon
23,129755504,129755329,Exon
24,129756339,129756211,Exon
25,129758690,129758488,Exon
26,129762765,129762609,Exon
27,129763280,129763191,Exon
28,129764333,129764253,Exon
29,129765490,129765390,Exon
