,feature_end,feature_start,feature_type
0,83740226,83739813,5'-UTR
1,83822069,83803089,3'-UTR
2,83740406,83739813,Exon
3,83742261,83742189,Exon
4,83745827,83745707,Exon
5,83748785,83748521,Exon
6,83750211,83750152,Exon
7,83763634,83763292,Exon
8,83765662,83765538,Exon
9,83770130,83769956,Exon
10,83772757,83772583,Exon
11,83774868,83774722,Exon
12,83776182,83776055,Exon
13,83778283,83778104,Exon
14,83778917,83778841,Exon
15,83782861,83782783,Exon
16,83783725,83783686,Exon
17,83784545,83784470,Exon
18,83785751,83785514,Exon
19,83788113,83787960,Exon
20,83788469,83788307,Exon
21,83791577,83791477,Exon
22,83793239,83793096,Exon
23,83795904,83795763,Exon
24,83796975,83796879,Exon
25,83800081,83799882,Exon
26,83802075,83801951,Exon
27,83803090,83803010,Exon
28,83820890,83820865,Exon
29,83821376,83821229,Exon
30,83822069,83821486,Exon
