,feature_end,feature_start,feature_type
0,77705717,77589765,Untranslated Transcript
1,77590173,77589765,Exon
2,77594998,77594877,Exon
3,77602508,77602364,Exon
4,77602886,77602726,Exon
5,77605395,77605335,Exon
6,77612597,77612466,Exon
7,77614666,77614585,Exon
8,77618856,77618762,Exon
9,77622198,77622015,Exon
10,77629310,77629076,Exon
11,77630024,77629866,Exon
12,77632519,77632385,Exon
13,77633517,77633401,Exon
14,77635938,77635795,Exon
15,77639593,77639387,Exon
16,77649871,77649696,Exon
17,77652297,77652225,Exon
18,77667108,77666987,Exon
19,77669880,77669791,Exon
20,77671437,77671386,Exon
21,77672184,77671998,Exon
22,77692622,77692504,Exon
23,77702345,77702153,Exon
24,77705717,77705635,Exon
