,feature_end,feature_start,feature_type
0,7194373,7194373,5'-UTR
1,7744564,7741991,3'-UTR
2,7194853,7194373,Exon
3,7398082,7398014,Exon
4,7533356,7533256,Exon
5,7640219,7640054,Exon
6,7655934,7655860,Exon
7,7663291,7663226,Exon
8,7666198,7666079,Exon
9,7668940,7668850,Exon
10,7677956,7677776,Exon
11,7684616,7684469,Exon
12,7691315,7691212,Exon
13,7699001,7698924,Exon
14,7705098,7705006,Exon
15,7706011,7705903,Exon
16,7714580,7714459,Exon
17,7716100,7715966,Exon
18,7717038,7716909,Exon
19,7719910,7719738,Exon
20,7725610,7725423,Exon
21,7727014,7726880,Exon
22,7728630,7728506,Exon
23,7730189,7730076,Exon
24,7731439,7731313,Exon
25,7735148,7735048,Exon
26,7736101,7735998,Exon
27,7738899,7738795,Exon
28,7744564,7741926,Exon
