,feature_end,feature_start,feature_type
0,137891725,137890570,5'-UTR
1,137911318,137911007,3'-UTR
2,137891803,137890570,Exon
3,137892281,137892140,Exon
4,137892555,137892462,Exon
5,137893185,137893090,Exon
6,137893675,137893557,Exon
7,137894346,137894241,Exon
8,137895780,137895552,Exon
9,137897478,137897268,Exon
10,137902407,137902314,Exon
11,137902852,137902689,Exon
12,137903250,137903143,Exon
13,137903411,137903337,Exon
14,137904738,137904613,Exon
15,137906830,137906648,Exon
16,137909539,137909451,Exon
17,137909815,137909756,Exon
18,137911318,137910926,Exon
